question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,correct_answer_text,explanation,explanation_clean,detailed_explanation,topic
111,single,A 21-year-old female with exertional palpitations has wide mobile splitting of S2 and a systolic murmur. What is the suggested diagnosis?,AS,ASD,Mitral regurgitation,Pulmonary stenosis,TR,,C,C — Mitral regurgitation,"Wide S2 splitting occurs with delayed P2 (pulmonary stenosis, RBBB, pulmonary HTN), early A2 (mitral regurgitation), or fixed splitting in ASD due to left-to-right fy shunting and prolonged P2.","Wide S2 splitting occurs with delayed P2 (pulmonary stenosis, RBBB, pulmonary HTN), early A2 (mitral regurgitation), or fixed splitting in ASD due to left-to-right fy shunting and prolonged P2.","Correct answer: C — Mitral regurgitation. Wide S2 splitting occurs with delayed P2 (pulmonary stenosis, RBBB, pulmonary HTN), early A2 (mitral regurgitation), or fixed splitting in ASD due to left-to-right fy shunting and prolonged P2. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Heart Sounds
112,single,"A23-year-old woman presents with dyspnea on exertion. On exam, there is a mid- diastolic rumble with an OS close to S2. What is the suggested diagnosis?",Left atrial myxoma,Mild mitral stenosis,Mild mitral stenosis with calcified valve,Severe mitral stenosis,Severe calcific mitral stenosis,,D,D — Severe mitral stenosis,"A mid-diastolic rumble with an opening snap close to S2 strongly indicates mitral stenosis, with the timing of the OS relative to S2 reflecting severity. In severe MS, elevated left atrial pressure causes the OS to occur closer to S2.","A mid-diastolic rumble with an opening snap close to S2 strongly indicates mitral stenosis, with the timing of the OS relative to S2 reflecting severity. In severe MS, elevated left atrial pressure causes the OS to occur closer to S2.","Correct answer: D — Severe mitral stenosis. A mid-diastolic rumble with an opening snap close to S2 strongly indicates mitral stenosis, with the timing of the OS relative to S2 reflecting severity. In severe MS, elevated left atrial pressure causes the OS to occur closer to S2. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
113,single,"A 45-year-old woman presents with dyspnea and fatigue on exertion and has a history of chest disease treated with antibiotics for 9 months. On exam, there is a steep Y descent and a diastolic sound. What is the expected diagnosis?",Bronchogenic carcinoma,Constrictive pericarditis,Cor pulmonale,Mitral stenosis,Pericardial effusion,,B,B — Constrictive pericarditis,"A steep Y descent and a diastolic sound, likely a pericardial knock, suggest constrictive pericarditis, characterized by rapid early diastolic filling due to a rigid pericardium. The patient's history of prolonged chest disease treated with antibiotics points to possible tuberculous pericarditis, acommon cause in endemic areas.","A steep Y descent and a diastolic sound, likely a pericardial knock, suggest constrictive pericarditis, characterized by rapid early diastolic filling due to a rigid pericardium. The patient's history of prolonged chest disease treated with antibiotics points to possible tuberculous pericarditis, acommon cause in endemic areas.","Correct answer: B — Constrictive pericarditis. A steep Y descent and a diastolic sound, likely a pericardial knock, suggest constrictive pericarditis, characterized by rapid early diastolic filling due to a rigid pericardium. The patient's history of prolonged chest disease treated with antibiotics points to possible tuberculous pericarditis, acommon cause in endemic areas. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pericardium
114,single,A 23-year-old woman with syncope has a bifid pulse and mid-systolic murmur on the left sternal border that increases with Valsalva maneuver. What is the suggested diagnosis?,Aortic stenosis,Mitral regurgitation,Hypertrophic cardiomyopathy,Pulmonary stenosis,Ventricular septal defect,,C,C — Hypertrophic cardiomyopathy,"Syncope, a bifid pulse, and a mid-systolic murmur at the left sternal border that increases with Valsalva maneuver are classic features of HCM, where reduced preload intensifies left ventricular outflow tract obstruction.","Syncope, a bifid pulse, and a mid-systolic murmur at the left sternal border that increases with Valsalva maneuver are classic features of HCM, where reduced preload intensifies left ventricular outflow tract obstruction.","Correct answer: C — Hypertrophic cardiomyopathy. Syncope, a bifid pulse, and a mid-systolic murmur at the left sternal border that increases with Valsalva maneuver are classic features of HCM, where reduced preload intensifies left ventricular outflow tract obstruction. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Cardiomyopathy
115,single,A73-year-old woman with syncope has a systolic click and mid-systolic murmur that increases with Amyl nitrite. What is the suggested diagnosis?,Aortic stenosis,Mitral regurgitation,Hypertrophic cardiomyopathy,Pulmonary stenosis,"Ventricular septal defect A3., ""4: a",,A,A — Aortic stenosis,"Amyl nitrite decreases afterload and preload, increasing the murmur intensity in aortic stenosis. AS presents with a crescendo-decrescendo systolic ejection, murmur, often with an ejection click, best heard at the base and radiating to the carotids The patient’s age and syncope further support the diagnosis of AS.","Amyl nitrite decreases afterload and preload, increasing the murmur intensity in aortic stenosis. AS presents with a crescendo-decrescendo systolic ejection, murmur, often with an ejection click, best heard at the base and radiating to the carotids The patient's age and syncope further support the diagnosis of AS.","Correct answer: A — Aortic stenosis. Amyl nitrite decreases afterload and preload, increasing the murmur intensity in aortic stenosis. AS presents with a crescendo-decrescendo systolic ejection, murmur, often with an ejection click, best heard at the base and radiating to the carotids The patient's age and syncope further support the diagnosis of AS. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
116,single,A 12-year-old child is asymptomatic with a mid-systolic murmur (grade 2) on the left sternal border and no other findings. What is the suggested diagnosis?,Aortic stenosis,Mitral regurgitation,Hypertrophic cardiomyopathy,Still's murmur,Ventricular septal defect,,D,D — Still's murmur,"An asymptomatic 12-year-old with a soft, grade 2 mid-systolic murmur at the left sternal border and no other findings is most likely to have a benign Still’s murmur, a common innocent murmur in children with no structural heart disease.","An asymptomatic 12-year-old with a soft, grade 2 mid-systolic murmur at the left sternal border and no other findings is most likely to have a benign Still's murmur, a common innocent murmur in children with no structural heart disease.","Correct answer: D — Still's murmur. An asymptomatic 12-year-old with a soft, grade 2 mid-systolic murmur at the left sternal border and no other findings is most likely to have a benign Still's murmur, a common innocent murmur in children with no structural heart disease. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Heart Sounds
117,single,A 24-year-old woman presents with palpitations and has an early to mid-diastolic rumbling murmur at the apex and an early diastolic murmur in the 2nd left space. Both murmurs decrease with Amyl nitrite inhalation. What is the suggested diagnosis?,Aortic regurgitation,Mitral stenosis & aortic regurgitation,Mitral stenosis & pulmonary regurgitation,Tricuspid stenosis & pulmonary regurgitation,Tricuspid stenosis & tricuspid regurgitation,,A,A — Aortic regurgitation,"An early diastolic murmur at the second left intercostal space suggests AR, while an early to mid-diastolic murmur at the apex suggests an Austin Flint murmur, which decreases in intensity with amyl nitrite, unlike mitral stenosis, which increases intensity.","An early diastolic murmur at the second left intercostal space suggests AR, while an early to mid-diastolic murmur at the apex suggests an Austin Flint murmur, which decreases in intensity with amyl nitrite, unlike mitral stenosis, which increases intensity.","Correct answer: A — Aortic regurgitation. An early diastolic murmur at the second left intercostal space suggests AR, while an early to mid-diastolic murmur at the apex suggests an Austin Flint murmur, which decreases in intensity with amyl nitrite, unlike mitral stenosis, which increases intensity. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
118,single,"A 75-year-old man with a systolic murmur on the 2nd aortic area undergoes echo Doppler, showing flow across the aortic valve at 4 m/s. What is the calculated maximum pressure gradient across the aortic valve?",24mmHg,36 mmHg,48mmHg,64mmHg,81mmHg,,D,D — 64mmHg,Using Bernoulli’s equation: AP = 4v? ='4*(4?) = 64 mmHg.,Using Bernoulli's equation: AP = 4v? ='4*(4?) = 64 mmHg.,"Correct answer: D — 64mmHg. Using Bernoulli's equation: AP = 4v? ='4*(4?) = 64 mmHg. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Echocardiography
119,single,". A23-year-old woman with rheumatic heart disease is referred for echocardiography, showing aortic regurgitation with a jet width of 30% of the LVOT. What is the aortic regurgitation grade?",Grade 1/4,Grade 2/4,Grade 3/4,Grade 4/4,Trivial aortic regurgitation,,B,B — Grade 2/4,"Aortic regurgitation severity is graded by jet width as a percentage of the LVOT: mild (<25%), moderate (25-50%), severe (50-65%), and very severe (>65%).","Aortic regurgitation severity is graded by jet width as a percentage of the LVOT: mild (<25%), moderate (25-50%), severe (50-65%), and very severe (>65%).","Correct answer: B — Grade 2/4. Aortic regurgitation severity is graded by jet width as a percentage of the LVOT: mild (<25%), moderate (25-50%), severe (50-65%), and very severe (>65%). Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Echocardiography
120,single,"A 26-year-old man with syncope has echocardiography findings: IVS 18mm, PW 12mm, LA 45mm, and a PG of 45 mmHg across the LVOT. What is your comment on the LV thickness?",Asymmetric septal hypertrophy,Concentric LV hypertrophy,Isolated septal hypertrophy,Normal LV thickness,Senile septal hypertrophy,,A,A — Asymmetric septal hypertrophy,"An IVS thickness of 18 mm, PW thickness of 12 mm, and a septum-to-PW tatio >1.3 indicate asymmetric septal hypertrophy, a hallmark of HCM, with a 45 mmHg LVOT gradient suggesting dynamic outflow obstruction.","An IVS thickness of 18 mm, PW thickness of 12 mm, and a septum-to-PW tatio >1.3 indicate asymmetric septal hypertrophy, a hallmark of HCM, with a 45 mmHg LVOT gradient suggesting dynamic outflow obstruction.","Correct answer: A — Asymmetric septal hypertrophy. An IVS thickness of 18 mm, PW thickness of 12 mm, and a septum-to-PW tatio >1.3 indicate asymmetric septal hypertrophy, a hallmark of HCM, with a 45 mmHg LVOT gradient suggesting dynamic outflow obstruction. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Echocardiography
121,single,"A 26-year-old man with syncope shows echocardiography findings: IVS 18mm, PW 12mm, LA 45mm, and a PG of 45 mmHg across the LVOT. What is the most probable diagnosis?",Amyloid heart disease,Hypertrophic non-obstructive cardiomyopathy,Hypertrophic obstructive cardiomyopathy,Infiltrative cardiomyopathy,Restrictive cardiomyopathy,,C,C — Hypertrophic obstructive cardiomyopathy,"Normal diastolic IVS and PW thickness are 6-10 mm (IVS/PW ratio <1.3), left atrial diameter is <40 mm, and resting LVOT gradient is <10 mmHg. Here, IVS 18 mm/PW 12 mm gives a ratio of 1.5, LA 45 mm, and LVOT gradient 45 mmHg, confirming hypertrophic obstructive cardiomyopathy.","Normal diastolic IVS and PW thickness are 6-10 mm (IVS/PW ratio <1.3), left atrial diameter is <40 mm, and resting LVOT gradient is <10 mmHg. Here, IVS 18 mm/PW 12 mm gives a ratio of 1.5, LA 45 mm, and LVOT gradient 45 mmHg, confirming hypertrophic obstructive cardiomyopathy.","Correct answer: C — Hypertrophic obstructive cardiomyopathy. Normal diastolic IVS and PW thickness are 6-10 mm (IVS/PW ratio <1.3), left atrial diameter is <40 mm, and resting LVOT gradient is <10 mmHg. Here, IVS 18 mm/PW 12 mm gives a ratio of 1.5, LA 45 mm, and LVOT gradient 45 mmHg, confirming hypertrophic obstructive cardiomyopathy. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Cardiomyopathy
122,single,"A 67-year-old woman with chronic renal failure presents with dyspnea, and echocardiography reveals an echo-free space around the heart (20 mm anteriorly, 15 mm posteriorly) with RA diastolic collapse. What is the appropriate diagnosis?",Cardiac tamponade,Mild pericardial effusion,Minimal pericardial effusion,Moderate pericardial effusion,Severe pericardial effusion » Se,,A,A — Cardiac tamponade,"While the effusion size fits the moderate-severe range, the presence of RA diastolic collapse and dyspnea confirms the diagnosis of cardiac tamponade.","While the effusion size fits the moderate-severe range, the presence of RA diastolic collapse and dyspnea confirms the diagnosis of cardiac tamponade.","Correct answer: A — Cardiac tamponade. While the effusion size fits the moderate-severe range, the presence of RA diastolic collapse and dyspnea confirms the diagnosis of cardiac tamponade. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pericardium
123,single,A 67-year-old woman with chronic renal failure and dyspnea has an echo showing a 20 mm anterior and 21 mm posterior echo-free space around the heart. What is the diagnosis?,Cardiac tamponade,Mild pericardial effusion,Minimal pericardial effusion,Moderate pericardial effusion,Severe pericardial effusion,,E,E — Severe pericardial effusion,"Echocardiography is the primary t ool for diagnosing and assessing pericardial effusion severity, typically classified by echo -free space as minimal (<10 mm), mild (10-20 mm), moderate (>20 mm but localiz ed), and severe (>20 mm and circumferential).","Echocardiography is the primary t ool for diagnosing and assessing pericardial effusion severity, typically classified by echo -free space as minimal (<10 mm), mild (10-20 mm), moderate (>20 mm but localiz ed), and severe (>20 mm and circumferential).","Correct answer: E — Severe pericardial effusion. Echocardiography is the primary t ool for diagnosing and assessing pericardial effusion severity, typically classified by echo -free space as minimal (<10 mm), mild (10-20 mm), moderate (>20 mm but localiz ed), and severe (>20 mm and circumferential). Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pericardium
124,single,A 55-year-old man with chest p: ain undergoes a stress test (Bruce protocol) and develops severe chest pain without ECG changes. What is th e next step?,Assure the patient & continue exercise,Continue exercise until ECG changes appear,Decrease treadmill speed,Administer sublingual nitrate & continue exercise,Stop exercise,,E,E — Stop exercise,"The goal of a stress test is to safely asse: ss for ischemia, not to provoke harm, Severe che: st pain is an endpoint that mandates cessation of exercise and further evaluation.","The goal of a stress test is to safely asse: ss for ischemia, not to provoke harm, Severe che: st pain is an endpoint that mandates cessation of exercise and further evaluation.","Correct answer: E — Stop exercise. The goal of a stress test is to safely asse: ss for ischemia, not to provoke harm, Severe che: st pain is an endpoint that mandates cessation of exercise and further evaluation. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Stress Testing
125,single,"A55-year-old man develops PVCs increasing in frequency with non-sustained VT during a Bruce protocol stress test, witho' ut ECG changes or chest pain. What is the next step?",Assure the patient & continue exercise,Continue until ECG changes appear,Decrease treadmill speed,Administer IV xylocaine & continue,Stop exercise,,E,E — Stop exercise,"Frequent PVCs and NSVT during a stress test signal a high risk of malignant arrhythmias and myocardial ischemia, requiring immediate test cessation to prevent sustained VT or ventricular fibrillation, even if chest pain or ischemic ECG changes are absent.","Frequent PVCs and NSVT during a stress test signal a high risk of malignant arrhythmias and myocardial ischemia, requiring immediate test cessation to prevent sustained VT or ventricular fibrillation, even if chest pain or ischemic ECG changes are absent.","Correct answer: E — Stop exercise. Frequent PVCs and NSVT during a stress test signal a high risk of malignant arrhythmias and myocardial ischemia, requiring immediate test cessation to prevent sustained VT or ventricular fibrillation, even if chest pain or ischemic ECG changes are absent. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Stress Testing
126,single,"A 67-year-old diabetic, hypertensive woman with normal ECG and creatinine of 3.5 mg/dL presents with chest pain. What is the best test to evaluate her chest pain?",CT coronary angiography,Coronary angiography,Echocardiography,Stress gadolinium MRI,Stress Tc-99m SPECT,,E,E — Stress Tc-99m SPECT,"For a high-risk patient with advanced age, DM, HTN, chest pain, and CKD, Stress Tc-99m SPECT is the preferred diagnostic test for CAD, as it evaluates myocardial | perfusion and ischemia without the need for contrast agents that could worsen renal function.","For a high-risk patient with advanced age, DM, HTN, chest pain, and CKD, Stress Tc-99m SPECT is the preferred diagnostic test for CAD, as it evaluates myocardial | perfusion and ischemia without the need for contrast agents that could worsen renal function.","Correct answer: E — Stress Tc-99m SPECT. For a high-risk patient with advanced age, DM, HTN, chest pain, and CKD, Stress Tc-99m SPECT is the preferred diagnostic test for CAD, as it evaluates myocardial | perfusion and ischemia without the need for contrast agents that could worsen renal function. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",CAD
127,single,"A 67-year-old diabetic, hypertensive woman with LBBB and creatinine of 3.5 mg/dL presents with chest pain. What is the best test to evaluate her chest pain?",CT coronary angiography,Coronary angiography,Dobutamine echocardiography,Stress gadolinium MRI,Stress exercise Tc-99m SPECT,,C,C — Dobutamine echocardiography,"In patients with significant renal dysfunction (elevated creatinine) and LBBB, dobutamine stress echo is preferred as it avoids nephrotoxic contrast agents, does not use gadolinium (contraindicated in renal dysfunction), provides accurate results without the false positives seen with exercise nuclear SPECT in LBBB.","In patients with significant renal dysfunction (elevated creatinine) and LBBB, dobutamine stress echo is preferred as it avoids nephrotoxic contrast agents, does not use gadolinium (contraindicated in renal dysfunction), provides accurate results without the false positives seen with exercise nuclear SPECT in LBBB.","Correct answer: C — Dobutamine echocardiography. In patients with significant renal dysfunction (elevated creatinine) and LBBB, dobutamine stress echo is preferred as it avoids nephrotoxic contrast agents, does not use gadolinium (contraindicated in renal dysfunction), provides accurate results without the false positives seen with exercise nuclear SPECT in LBBB. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",CAD
128,single,A 23-year-old radiology technician working in a cath lab becomes pregnant. What is the appropriate action?,Avoid the cath lab during screen-on state,Avoid the cath lab at all times,Continue working as usual,Reduce working hours,Increase calcium and antioxidants,,A,A — Avoid the cath lab during screen-on state,"Pregnant radiology technicians can work in the cath lab with proper safety measures but must minimize fetal radiation exposure. Avoiding the screen-on state, wearing a lead apron, and using a dosimeter are essential precautions.","Pregnant radiology technicians can work in the cath lab with proper safety measures but must minimize fetal radiation exposure. Avoiding the screen-on state, wearing a lead apron, and using a dosimeter are essential precautions.","Correct answer: A — Avoid the cath lab during screen-on state. Pregnant radiology technicians can work in the cath lab with proper safety measures but must minimize fetal radiation exposure. Avoiding the screen-on state, wearing a lead apron, and using a dosimeter are essential precautions. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pregnancy
129,single,A 56-year-old obstetrician undergoes a single-day stress Tc-99m SPECT for chest pain evaluation. How long should they avoid contact with pregnant women?,12 hours,24 hours,48 hours,72 hours,96 hours,,B,B — 24 hours,"After a stress Tc-99m SPECT, a small amount of residual radioactivity remains in the body, To minimize exposure to others, particularly pregnant women, it is __ recommended to avoid close contact with them for approximately 24 hours after the | p lure.","After a stress Tc-99m SPECT, a small amount of residual radioactivity remains in the body, To minimize exposure to others, particularly pregnant women, it is __ recommended to avoid close contact with them for approximately 24 hours after the | p lure.","Correct answer: B — 24 hours. After a stress Tc-99m SPECT, a small amount of residual radioactivity remains in the body, To minimize exposure to others, particularly pregnant women, it is __ recommended to avoid close contact with them for approximately 24 hours after the | p lure. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pregnancy
130,single,"During balloon mitral valvuloplasty of a 23-year-old woman with mitral stenosis, cardiac border movement on the screen becomes unclear, and BP drops. What is the next step?",Arrange for urgent echo,Administer IV inotropes,Administer IV sedative,Administer IV heparin,Stop the procedure,,A,A — Arrange for urgent echo,"During balloon mitral valvuloplasty, unclear cardiac borders and a BP drop suggest complications like tamponade or perforation. An urgent echo is critical to identify the cause.","During balloon mitral valvuloplasty, unclear cardiac borders and a BP drop suggest complications like tamponade or perforation. An urgent echo is critical to identify the cause.","Correct answer: A — Arrange for urgent echo. During balloon mitral valvuloplasty, unclear cardiac borders and a BP drop suggest complications like tamponade or perforation. An urgent echo is critical to identify the cause. In interventional questions, prioritize the measure with the strongest proven practical benefit at the stage described in the stem. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Intervention
