index,question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,topic
31,32,single,Which of the following is an absolute indication to stop an exercise treadmill test?,Mild fatigue,Sustained ventricular tachycardia,Heart rate 120,Sinus arrhythmia,Systolic BP rise of 5 mmHg,B,Sustained VT is an absolute reason to terminate exercise testing.,Stress Testing
32,33,single,Exercise ECG without imaging is generally inappropriate in which baseline ECG pattern?,Sinus rhythm,Preexcitation,Normal axis deviation,First-degree AV block,Incomplete RBBB only,B,Preexcitation makes exercise ECG interpretation unreliable.,Stress Testing
33,34,single,A symptomatic patient has severe chronic aortic regurgitation. What is the definitive next step?,ACE inhibitor and follow-up,TAVR,Surgical aortic valve replacement,Exercise testing,Digoxin,C,Symptomatic severe chronic AR requires valve surgery.,Valvular
34,35,single,An asymptomatic patient has severe AR with preserved EF but LV end-systolic dimension of 67 mm. What is the best management?,Observe only,SAVR,TAVR,Diuretics only,Repeat echo in 2 years,B,Severe AR with marked LV dilation is an indication for surgery even if asymptomatic.,Valvular
35,36,single,A patient with acute severe AR presents with pulmonary edema shock and echo evidence of premature mitral valve closure. What is the best next step?,Beta-blocker infusion,Urgent surgical valve replacement,Exercise testing,Discharge with nifedipine,Serial troponins only,B,Acute severe AR is a surgical emergency.,Valvular
36,37,single,Which initial treatment is most appropriate for hypotensive right ventricular infarction?,High-dose nitrates,Aggressive diuresis,Careful IV fluids,Immediate beta blocker,Morphine infusion only,C,RV infarction is preload dependent so cautious volume loading is useful.,ACS
37,38,single,Which drug class directly blocks the final common pathway of platelet aggregation?,Aspirin,P2Y12 inhibitors,GP IIb/IIIa inhibitors,Vitamin K antagonists,Direct thrombin inhibitors,C,GP IIb/IIIa inhibitors block fibrinogen binding and platelet aggregation.,Pharmacology
38,39,single,What does the term mitral regurgitant orifice usually refer to?,Mitral annular diameter,Valve leaflet thickness,Effective regurgitant orifice area,Mitral inflow area in diastole,Aortic valve area,C,Mitral regurgitant orifice means the effective area through which blood regurgitates in MR.,Echocardiography
39,40,single,Which echo method is most commonly used to estimate effective regurgitant orifice area in mitral regurgitation?,Simpson biplane EF,PISA method,M-mode septal thickness,Bubble study,TAPSE,B,PISA is commonly used to estimate EROA in MR.,Echocardiography
40,41,single,Yellow papules in a patient with nocturia are most likely a clue to which metabolic abnormality?,Hypercalcemia,Severe hypertriglyceridemia,Hypouricemia,Isolated low HDL,Vitamin D deficiency,B,The buzzword clue is the eruptive xanthoma which points to severe hypertriglyceridemia.,Lipids
41,42,single,Tetralogy of Fallot is associated with which chromosomal abnormality?,Turner syndrome,Trisomy 21,22q11 deletion,47 XXY,Williams syndrome,C,TOF is classically linked to 22q11 deletion syndrome.,Congenital
42,43,single,Which syndrome is strongly associated with Tetralogy of Fallot?,Marfan syndrome,DiGeorge syndrome,Noonan syndrome,Kartagener syndrome,Down syndrome,B,DiGeorge syndrome due to 22q11 deletion is associated with TOF.,Congenital
43,44,single,Which maneuver tends to decrease the murmur intensity of HOCM?,Valsalva,Standing,Squatting,Amyl nitrite,Nitroglycerin,C,Squatting increases preload and reduces dynamic obstruction.,Physical Exam
44,45,single,Which maneuver tends to make the midsystolic click of MVP occur later?,Standing,Valsalva,Squatting,Amyl nitrite,Rapid inspiration,C,Squatting increases LV volume and delays the click in MVP.,Physical Exam
45,46,single,A patient develops acute heart failure after a viral prodrome. Which diagnosis best fits the stem?,Acute rheumatic fever,Viral myocarditis,Infective endocarditis,Acute pericarditis only,Stable angina,B,A viral prodrome followed by HF strongly suggests viral myocarditis.,Myocarditis
46,47,single,Which investigation pattern best supports amiodarone pulmonary toxicity?,Obstructive spirometry with hyperinflation,Restrictive PFTs with interstitial changes on CT,Normal PFTs with pleural effusion,Elevated D-dimer only,Upper lobe cavitation,B,Restrictive PFTs and interstitial changes on CT are typical.,Pharmacology
47,48,single,In life-threatening bleeding after fibrinolysis which alternative antifibrinolytic besides aminocaproic acid may be considered?,Protamine,Tranexamic acid,Atropine,Epinephrine,Milrinone,B,Tranexamic acid is another antifibrinolytic option.,Pharmacology
48,49,single,Failure of formation of the aorticopulmonary septum rather than failure to spiral would produce which lesion?,Transposition of great arteries,Persistent truncus arteriosus,Tetralogy of Fallot,Coarctation of aorta,Total anomalous pulmonary venous return,B,Failure of septum formation causes persistent truncus arteriosus.,Congenital
49,50,single,Which pulse character is classically felt in severe aortic stenosis?,Water hammer pulse,Pulsus paradoxus,Pulsus parvus et tardus,Bisferiens pulse,Bounding pulse,C,AS produces a weak delayed carotid upstroke.,Physical Exam
50,51,single,Which pulse character is typical of chronic severe aortic regurgitation?,Pulsus alternans,Corrigan water-hammer pulse,Pulsus paradoxus,Slow-rising pulse,Bigeminal pulse,B,Chronic AR classically causes a collapsing water-hammer pulse.,Physical Exam
51,52,single,A rough ejection systolic murmur at the upper left sternal border with a thrill is most suggestive of which lesion?,Aortic stenosis,Pulmonary stenosis,MR,TR,MVP,B,Pulmonary stenosis is best heard at the upper left sternal border and may have a thrill.,Valvular
52,53,single,An S3 gallop usually reflects which ventricular state in adults?,Concentric pressure overload only,Volume overload with increased filling pressures,Pure bradycardia,Pericardial constriction only,Normal finding in all older adults,B,S3 in adults usually signifies volume overload or reduced ventricular compliance.,Heart Failure
53,54,single,Which dobutamine stress echo finding most strongly suggests contractile reserve and viable myocardium?,Progressive thinning without motion,Improvement in wall motion at low dose,Appearance of pericardial effusion,Fixed akinesis at all doses,Loss of ECG voltage,B,Improved wall motion at low-dose dobutamine suggests viability.,Viability
54,55,single,Which ECG pattern is particularly associated with apical HCM?,Short PR interval,Deep giant T-wave inversion in precordial leads,Diffuse ST elevation,Low-voltage QRS,Alternating bundle branch block,B,Apical HCM often produces giant negative T waves on ECG.,Cardiomyopathy
55,56,single,During IJV cannulation the needle is usually directed toward which landmark from the apex of the SCM triangle?,Umbilicus,Ipsilateral nipple,Contralateral shoulder,Suprasternal notch only,Angle of mandible,B,The classic landmark approach directs the needle toward the ipsilateral nipple.,Procedure
56,57,single,Which congenital lesion can present with cyanosis that improves with squatting?,ASD,Tetralogy of Fallot,PDA,Coarctation,VSD only,B,Squatting increases systemic vascular resistance and reduces right-to-left shunting in TOF.,Congenital
57,58,single,Which statement best describes a physiologic systolic murmur in pregnancy?,Always associated with thrill,Best heard at apex and holosystolic,Can occur without thrill due to increased flow,Always indicates severe stenosis,Always radiates to carotids,C,A benign flow murmur may occur in pregnancy but a thrill argues against it.,Pregnancy
58,59,matching,For each description match the lesion in order. 1 Painless small erythematous macules on palms and soles. 2 Tender nodules in finger pulps. 3 Retinal lesions with pale centers. 4 Linear streaks under nails. Options A Janeway lesions B Osler nodes C Roth spots D Splinter hemorrhages E Clubbing.,Janeway lesions,Osler nodes,Roth spots,Splinter hemorrhages,Clubbing,"A,B,C,D",Janeway are painless Osler are tender Roth are retinal and splinters are linear subungual hemorrhages.,Endocarditis
59,60,single,Which feature makes infective endocarditis particularly high risk and favors urgent surgical discussion?,Low ESR,Aortic root abscess,Normal renal function,Mild leukocytosis,Resolved fever,B,Periannular extension such as root abscess indicates high-risk IE.,Endocarditis
60,61,single,What is the correct first step before starting empiric IV antibiotics in suspected infective endocarditis if the patient is hemodynamically stable?,Start steroids,Obtain blood cultures,Perform exercise ECG,Give thrombolysis,Order CT colonography,B,Multiple blood cultures should be drawn before antibiotics when possible.,Endocarditis
61,62,single,Which organism is classically linked to urinary tract source endocarditis especially in older adults?,Enterococcus,Mycoplasma,Legionella,Clostridium tetani,Bartonella,A,Enterococcal bacteremia from the urinary tract can seed damaged valves.,Endocarditis
62,63,single,Which of the following is an accepted indication for surgery in infective endocarditis?,Small vegetation and no symptoms,Large vegetation with recurrent emboli,Single low-grade fever,Negative cultures only,Mild anemia alone,B,Large mobile vegetation with recurrent embolization supports surgery.,Endocarditis
63,64,single,Which statement about severe pulmonary hypertension in pregnancy is most accurate?,Pregnancy is usually well tolerated,Maternal risk is low if on sildenafil,Maternal mortality is high and pregnancy is generally contraindicated,Cesarean section eliminates all risk,Shock never occurs,C,Severe PH in pregnancy carries high maternal mortality and is generally contraindicated.,Pulmonary Hypertension
64,65,single,Cold extremities raised JVP and non-audible blood pressure in severe pulmonary hypertension most strongly indicate what?,Only mild decompensation,Cardiogenic shock from RV failure,Isolated asthma,Stable compensated PH,Pure vasovagal syncope,B,These are shock signs due to failing RV output.,Pulmonary Hypertension
65,66,single,Which antihypertensive mechanism most directly reduces intraglomerular pressure by dilating the efferent arteriole?,Beta blockers,ACE inhibitors,Dihydropyridine calcium blockers,Alpha agonists,Loop diuretics,B,ACE inhibitors reduce angiotensin II mediated efferent arteriolar constriction.,Physiology
66,67,single,In the coagulation cascade which factor converts prothrombin to thrombin in the common pathway?,Factor VIIa,Factor Xa,Factor XII,Factor VIII,Factor XIII,B,Factor Xa with Va converts prothrombin to thrombin.,Hematology
67,68,single,Which apolipoprotein is present on atherogenic lipoprotein particles and is often used as a marker of particle number?,ApoA1,ApoB,ApoC2,ApoE only,LpX,B,ApoB is carried on LDL VLDL IDL and related atherogenic particles.,Lipids
68,69,single,Which mechanism commonly explains a drug-induced proarrhythmic torsades de pointes?,Shortening of QT interval,Marked QT prolongation,Increase in PR interval alone,Sinus tachycardia only,Loss of P waves,B,QT prolongation can trigger early afterdepolarizations and torsades.,Arrhythmia
69,70,single,For optimal coronary CT angiography image quality what resting heart rate target is usually preferred?,Above 90,Below about 60,Exactly 75,Below 40 only,Heart rate does not matter,B,A lower heart rate improves temporal resolution and image quality in CTCA.,Imaging
70,71,single,Exertional syncope in HOCM is most often concerning because of risk of what event?,Atrial septal rupture,Ventricular tachyarrhythmia and sudden death,Pericardial tamponade,Acute severe AR,Aortic dissection,B,Exertional syncope in HOCM is a red-flag marker for malignant ventricular arrhythmia.,Cardiomyopathy
71,72,single,In advanced CKD with AF why is warfarin often chosen over many DOACs?,Warfarin does not require monitoring,Warfarin is unaffected by GI bleeding,Evidence and dosing of many DOACs are limited in severe renal dysfunction,Warfarin always has lower bleeding risk,Warfarin reverses itself,C,Severe renal impairment limits the use of several DOACs.,Anticoagulation
72,73,single,Which murmur becomes louder when the patient leans forward in held expiration?,Mitral stenosis,Aortic regurgitation,HOCM,TR,Pulmonary stenosis,B,Leaning forward accentuates the murmur of AR.,Physical Exam
73,74,single,In acute severe aortic regurgitation which physical finding may be absent despite major regurgitation?,Shock,Pulmonary edema,Narrowed diastolic filling time,Wide pulse pressure,Tachycardia,D,Wide pulse pressure may be absent in acute severe AR because the LV has not yet adapted.,Valvular
74,75,single,Which echocardiographic sign is associated with acute severe aortic regurgitation?,SAM of mitral valve,Premature mitral valve closure,Fixed ASD shunt,McConnell sign,Apical sparing,B,Premature mitral valve closure reflects rapid LV diastolic pressure rise in acute AR.,Echocardiography
75,76,single,ST-segment elevation in which right-sided lead is most specific for RV infarction?,V1,V2,V3R,V4R,V6R,D,V4R ST elevation is highly suggestive of RV infarction.,ACS
76,77,single,What molecule bridges adjacent activated platelets after GP IIb/IIIa activation?,Albumin,Fibrinogen,vWF only,Heparin,Factor XII,B,Fibrinogen binds GP IIb/IIIa receptors on neighboring platelets.,Hematology
77,78,single,Severe hypertriglyceridemia most increases the risk of which acute complication?,Aortic stenosis,Acute pancreatitis,Complete heart block,Aplastic anemia,Aortic dissection,B,Marked triglyceride elevation is a well-known cause of pancreatitis.,Lipids
78,79,single,Familial chylomicronemia syndrome often presents with which cutaneous finding?,Tendon xanthomas,Eruptive xanthomas,Xanthelasma only,Livedo reticularis,Palmar crease xanthoma,B,Eruptive xanthomas are classic in severe chylomicronemia.,Lipids
79,80,single,A systolic murmur in pregnancy is more likely pathologic rather than physiologic when which sign is present?,Soft intensity,No radiation,Palpable thrill,Variation with posture,Normal S2 splitting,C,A thrill suggests structural disease rather than a benign flow murmur.,Pregnancy
80,81,single,Which formula is correct for the Duke treadmill score?,Exercise time plus ST deviation minus angina index,Exercise time minus 5 times ST deviation minus 4 times angina index,Five times exercise time minus ST deviation,METs minus ST deviation,Heart rate minus ST deviation,B,This is the standard Duke treadmill score formula.,Stress Testing
81,82,single,In prosthetic valve endocarditis a negative or equivocal TEE does not exclude root abscess mainly because of what limitation?,Color Doppler aliasing only,Acoustic shadowing,Lack of sedation,Tricuspid annulus motion,Sinus tachycardia,B,Shadowing from prosthetic material can hide periannular extension.,Endocarditis
82,83,single,Which sign best supports decompensated right heart failure in severe pulmonary hypertension?,Basal crackles only,Raised jugular venous pressure,Bounding carotids,Wide pulse pressure,Water hammer pulse,B,Raised JVP is a classic sign of systemic venous congestion from RV failure.,Pulmonary Hypertension
83,84,single,Which statement about pregnancy and severe pulmonary hypertension is most accurate for counseling?,Risk rises only during labor,The condition is low risk if oxygen saturation is normal,Maternal mortality remains high even with modern therapy,Termination is never considered,Sildenafil is contraindicated in all cases,C,Even with modern therapy severe PH in pregnancy remains very high risk.,Pulmonary Hypertension
84,85,single,A specialist team decides to continue pulmonary vasodilator therapy during pregnancy-associated PAH decompensation. Which drug was already part of this patient's chronic regimen in the lecture-style stem?,Bosentan,Sildenafil,Ivabradine,Digoxin,Verapamil,B,The stem specified chronic sildenafil therapy.,Pulmonary Hypertension
85,86,single,The shock state in severe pulmonary hypertension during pregnancy is best classified as what type?,Pure distributive shock,Mixed but predominantly cardiogenic shock from RV failure,Neurogenic shock,Anaphylactic shock,Hypovolemic shock only,B,The dominant problem is RV pump failure with very low forward flow.,Pulmonary Hypertension
86,87,single,Which sarcomeric gene mutation is classically associated with hypertrophic cardiomyopathy?,CFTR,Beta-myosin heavy chain,Dystrophin,Fibrillin-1,LMNA,B,Sarcomeric protein mutations such as beta-myosin heavy chain are common in HCM.,Genetics
87,88,single,Which ECG clue supports apical hypertrophic cardiomyopathy?,Diffuse low voltage,Deep precordial T-wave inversion,ST elevation in inferior leads,Mobitz I block,Tall peaked P waves,B,Apical HCM commonly produces giant negative T waves in precordial leads.,Cardiomyopathy
88,89,single,Which of the following is a GP IIb/IIIa inhibitor?,Abciximab,Warfarin,Clopidogrel,Aspirin,Fondaparinux,A,Abciximab is a classic GP IIb/IIIa inhibitor.,Pharmacology
89,90,matching,Match the following to the correct concept in order. 1 Murmur increases with Valsalva. 2 Click occurs earlier on standing. 3 Murmur decreases with squatting. 4 Murmur louder leaning forward in expiration. Options A HOCM B MVP C HOCM D Aortic regurgitation E Mitral stenosis.,HOCM,MVP,HOCM,Aortic regurgitation,Mitral stenosis,"A,B,C,D",Valsalva increases HOCM standing accentuates MVP squatting reduces HOCM and leaning forward accentuates AR.,Physical Exam
90,91,single,Which lesion of infective endocarditis is painless rather than painful?,Osler node,Janeway lesion,Tender purpura,Roth spot,Splinter hemorrhage,B,Janeway lesions are painless while Osler nodes are tender.,Endocarditis
91,92,single,Roth spots are best described as what?,Painful toe nodules,Painless palmar macules,Retinal hemorrhages with pale centers,Pustular skin lesions,Nail clubbing,C,Roth spots are retinal lesions with pale centers.,Endocarditis
92,93,single,Splinter hemorrhages in endocarditis are found where?,Tongue,Nail beds,Conjunctiva,Palms,Soles,B,Splinter hemorrhages are linear nail-bed hemorrhages.,Endocarditis
93,94,single,Which native valve abnormality increases risk of aortic valve endocarditis and root abscess?,Mitral valve prolapse without MR,Bicuspid aortic valve,Small secundum ASD,Trivial PR,Innocent murmur,B,A bicuspid aortic valve is a classic substrate for endocarditis and periannular extension.,Endocarditis
94,95,single,In infective endocarditis the appearance of new valvular regurgitation suggests what?,Guaranteed cure,Mechanical complication and higher risk disease,Stable healed disease,Anemia only,No clinical importance,B,New regurgitation implies valve destruction and complicated IE.,Endocarditis
95,96,single,Which of the following is a classic heart failure related indication for surgery in infective endocarditis?,Mild pedal edema only,Acute severe valvular regurgitation causing pulmonary edema,Sinus bradycardia,Normal BNP,Stable chronic dyspnea unchanged for years,B,Heart failure from acute valve dysfunction is a major surgical indication in IE.,Endocarditis
96,97,single,A patient with left-sided IE has a large mobile vegetation and recurrent embolic events despite antibiotics. What is the preferred strategy?,Continue same antibiotics only,Consider early surgery,Stop all anticoagulation and discharge,Repeat treadmill test,Start thrombolysis,B,Large vegetation with recurrent emboli is a surgical indication.,Endocarditis
97,98,single,In a life-threatening pregnancy complicated by severe pulmonary hypertension decompensation what may need to be discussed by the multidisciplinary team?,Smoking cessation only,Termination of pregnancy,Routine home discharge,Permanent bed rest only,Exercise training program,B,Termination may need to be discussed because maternal risk can be extreme.,Pulmonary Hypertension
98,99,single,The S3 gallop is best heard with which part of the stethoscope and where?,Diaphragm at right upper sternal border,Bell at the apex,Bell over carotids,Diaphragm at back,Bell at left neck,B,S3 is low frequency and best heard with the bell at the apex.,Heart Sounds
99,100,single,What is the best concise definition of the effective regurgitant orifice area in mitral regurgitation?,The total mitral annular circumference,The functional area through which regurgitant flow passes,The area of the left atrium,The LVOT area,The valve opening area in diastole,B,EROA is the functional area of the regurgitant lesion in MR.,Echocardiography
100,101,single,"In a patient with suspected pulmonary stenosis during pregnancy, the murmur is best heard at which site?",Right upper sternal border,Left upper sternal border,Apex,Left lower sternal border,Back,B,Pulmonary stenosis is classically heard best at the left upper sternal border.,Valvular
101,102,single,Which of the following findings most strongly supports pathologic rather than physiologic systolic murmur in pregnancy?,Soft grade 1 murmur,No radiation,Palpable thrill,Variation with position,Normal pregnancy state,C,A palpable thrill indicates a pathologic murmur.,Pregnancy
102,103,single,Which antiarrhythmic is notorious for causing thyroid and pulmonary toxicity?,Lidocaine,Amiodarone,Adenosine,Verapamil,Propafenone,B,Amiodarone can cause both thyroid dysfunction and interstitial lung toxicity.,Pharmacology
103,104,single,A patient on amiodarone develops progressive dry cough and dyspnea. What is the first practical step after suspecting drug toxicity?,Increase amiodarone dose,Stop amiodarone and assess severity,Start thrombolysis,Give beta blocker only,No action needed,B,Stopping the offending drug is central once toxicity is suspected.,Pharmacology
104,105,single,Which fibrinolytic complication is most feared and requires immediate cessation of therapy?,Mild gum bleeding,Minor bruising,Intracranial hemorrhage,Epistaxis,Small hematoma,C,Intracranial bleeding is the most catastrophic hemorrhagic complication of thrombolysis.,Pharmacology
105,106,single,A patient with myocarditis most commonly develops heart failure because of what process?,Fixed valvular stenosis,Myocardial inflammation causing systolic dysfunction,Pericardial calcification,Coronary embolism only,Severe anemia,B,Myocardial inflammation impairs contractility and causes systolic dysfunction.,Myocarditis
106,107,single,Which virus is classically linked to dilated cardiomyopathy following myocarditis?,Coxsackie B,EBV,CMV only,Adenovirus only,HSV-2,A,Coxsackie B is the classic exam association.,Myocarditis
107,108,single,Eruptive xanthomas are typically located over which areas?,Palms and eyelids only,Extensor surfaces and buttocks,Soles only,Face and scalp only,Ear lobes only,B,Eruptive xanthomas commonly affect extensor surfaces and buttocks.,Lipids
108,109,single,Severe hypertriglyceridemia usually corresponds to triglyceride levels above approximately:,150 mg/dL,200 mg/dL,500 mg/dL,1000 mg/dL,3000 mg/dL,D,Very severe hypertriglyceridemia with eruptive xanthomas and pancreatitis risk is often around or above 1000 mg/dL.,Lipids
