question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,correct_answer_text,explanation,explanation_clean,detailed_explanation,topic
411,MCQ,Uncomplicated primary PCI to the LAD for STEMI. When can the patient typically return to light desk work and travel by air?,"1 week for work, 1 week for air travel","4 weeks for work, 2 weeks for air travel",6 weeks for both work and air travel,"2 weeks for work, 2–4 weeks for air travel",,,D,"D — 2 weeks for work, 2–4 weeks for air travel","After uncomplicated primary PCI, light desk work is usually possible after about 2 weeks and air travel after 2–4 weeks.","After uncomplicated primary PCI, light desk work is usually possible after about 2 weeks and air travel after 2–4 weeks.","Correct answer: D — 2 weeks for work, 2–4 weeks for air travel. After uncomplicated primary PCI, light desk work is usually possible after about 2 weeks and air travel after 2–4 weeks. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Rehabilitation
412,MCQ,Pregnant woman with confirmed DVT. Most appropriate anticoagulant?,Warfarin,Low molecular weight heparin (LMWH),Unfractionated heparin (UFH),Direct oral anticoagulants (DOACs),,,B,B — Low molecular weight heparin (LMWH),LMWH is preferred for DVT treatment in pregnancy because it is effective and does not cross the placenta.,LMWH is preferred for DVT treatment in pregnancy because it is effective and does not cross the placenta.,"Correct answer: B — Low molecular weight heparin (LMWH). LMWH is preferred for DVT treatment in pregnancy because it is effective and does not cross the placenta. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pregnancy/Anticoagulation
413,MCQ,DVT following hip replacement surgery. Most appropriate long-term anticoagulation?,Warfarin with INR monitoring,Low molecular weight heparin (LMWH),Direct oral anticoagulants (DOACs),Unfractionated heparin (UFH),,,C,C — Direct oral anticoagulants (DOACs),DOACs are generally preferred for long-term treatment of postoperative DVT when not contraindicated.,DOACs are generally preferred for long-term treatment of postoperative DVT when not contraindicated.,"Correct answer: C — Direct oral anticoagulants (DOACs). DOACs are generally preferred for long-term treatment of postoperative DVT when not contraindicated. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",VTE
414,MCQ,"During CPR, what is the compression-to-ventilation ratio before insertion of an advanced airway?",15:2,30:2,Continuous compressions with 1 breath every 6 seconds,10:1,,,B,B — 30:2,"For adults before advanced airway placement, the recommended ratio is 30 compressions to 2 breaths.","For adults before advanced airway placement, the recommended ratio is 30 compressions to 2 breaths.","Correct answer: B — 30:2. For adults before advanced airway placement, the recommended ratio is 30 compressions to 2 breaths. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Resuscitation
415,MCQ,Pregnant woman at 28 weeks with STEMI. Best treatment option?,Primary percutaneous coronary intervention (PPCI),Immediate thrombolytic therapy,Medical management with antiplatelets and anticoagulants only,Emergent coronary artery bypass grafting (CABG),,,A,A — Primary percutaneous coronary intervention (PPCI),PPCI is the preferred reperfusion strategy for STEMI in pregnancy.,PPCI is the preferred reperfusion strategy for STEMI in pregnancy.,"Correct answer: A — Primary percutaneous coronary intervention (PPCI). PPCI is the preferred reperfusion strategy for STEMI in pregnancy. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Pregnancy/ACS
416,MCQ,Asymptomatic severe mitral regurgitation with LVEDD 64 mm on echocardiography. Most appropriate management?,Medical therapy with beta-blockers and diuretics,Observation with regular echocardiographic follow-up,Mitral valve surgery,Percutaneous mitral valve repair,,,C,C — Mitral valve surgery,Severe MR with evidence of adverse LV remodeling warrants surgery even without symptoms.,Severe MR with evidence of adverse LV remodeling warrants surgery even without symptoms.,"Correct answer: C — Mitral valve surgery. Severe MR with evidence of adverse LV remodeling warrants surgery even without symptoms. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Valvular
417,MCQ,Massive pulmonary embolism with hypotension (SBP 80 mmHg). Most appropriate initial management?,Start intravenous heparin infusion,Perform surgical embolectomy,Administer systemic thrombolysis,Insert an inferior vena cava (IVC) filter,,,C,C — Administer systemic thrombolysis,Hemodynamically unstable massive PE is an indication for immediate systemic thrombolysis if not contraindicated.,Hemodynamically unstable massive PE is an indication for immediate systemic thrombolysis if not contraindicated.,"Correct answer: C — Administer systemic thrombolysis. Hemodynamically unstable massive PE is an indication for immediate systemic thrombolysis if not contraindicated. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Pulmonary embolism
418,MCQ,"Heart failure symptoms, renal impairment, dilated ventricles with reduced EF, and low-voltage QRS complexes on ECG. Which condition should be strongly considered?",Amyloidosis,Hypertrophic cardiomyopathy,Coronary artery disease,Viral myocarditis,,,A,A — Amyloidosis,Low-voltage ECG despite significant cardiac structural disease is classic for cardiac amyloidosis.,Low-voltage ECG despite significant cardiac structural disease is classic for cardiac amyloidosis.,"Correct answer: A — Amyloidosis. Low-voltage ECG despite significant cardiac structural disease is classic for cardiac amyloidosis. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Cardiomyopathy
419,MCQ,Type 2 diabetic with eGFR 45 mL/min/1.73 m² taking metformin is scheduled for coronary angiography. Best management of metformin?,Continue metformin unchanged,Halve the dose starting the day before the procedure,Stop metformin 24 hours before and resume 48 hours after if renal function is stable,Switch to another antihyperglycemic agent 2 weeks before,,,C,C — Stop metformin 24 hours before and resume 48 hours after if renal function is stable,"With impaired renal function and contrast exposure, metformin is withheld to reduce the risk of lactic acidosis if renal function worsens.","With impaired renal function and contrast exposure, metformin is withheld to reduce the risk of lactic acidosis if renal function worsens.","Correct answer: C — Stop metformin 24 hours before and resume 48 hours after if renal function is stable. With impaired renal function and contrast exposure, metformin is withheld to reduce the risk of lactic acidosis if renal function worsens. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Diabetes/Contrast nephropathy
420,MCQ,"Acute pericarditis with pleuritic chest pain, friction rub, and diffuse ST elevation. First-line treatment?",Intravenous antibiotics,NSAIDs,Glucocorticoids,Anticoagulation therapy,,,B,B — NSAIDs,NSAIDs are first-line treatment for acute pericarditis; colchicine is often added.,NSAIDs are first-line treatment for acute pericarditis; colchicine is often added.,"Correct answer: B — NSAIDs. NSAIDs are first-line treatment for acute pericarditis; colchicine is often added. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Pericardial disease
421,MCQ,Pregnant woman with Marfan syndrome and aortic root diameter 4.5 cm. Recommended mode of delivery?,Assisted vaginal delivery with epidural analgesia,Cesarean section to minimize hemodynamic stress,Elective induction of labor at 37 weeks,Vaginal delivery under general anesthesia,,,B,B — Cesarean section to minimize hemodynamic stress,"At an aortic root diameter ≥4.5 cm, cesarean delivery is recommended to reduce the risk of dissection or rupture.","At an aortic root diameter ≥4.5 cm, cesarean delivery is recommended to reduce the risk of dissection or rupture.","Correct answer: B — Cesarean section to minimize hemodynamic stress. At an aortic root diameter ≥4.5 cm, cesarean delivery is recommended to reduce the risk of dissection or rupture. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pregnancy/Aortopathy
422,MCQ,Syncope at rest with family history of sudden death; ECG pattern consistent with Brugada type 3. Most likely diagnosis?,Long QT syndrome,Wolff-Parkinson-White syndrome,Myocardial infarction,Brugada syndrome,,,D,D — Brugada syndrome,The clinical setting and right precordial ECG abnormalities strongly support Brugada syndrome.,The clinical setting and right precordial ECG abnormalities strongly support Brugada syndrome.,"Correct answer: D — Brugada syndrome. The clinical setting and right precordial ECG abnormalities strongly support Brugada syndrome. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Arrhythmia
423,MCQ,"Recent severe emotional stress, ST elevation V2–V6, slight troponin rise, akinetic apex with hyperkinetic base, LVEF 34%. Next best step?",Coronary angiography,Observation for 24 hours then discharge if stable,Reassure and repeat echo in 1–2 weeks,Trial of antacid and anxiolytic,,,A,A — Coronary angiography,"Takotsubo is suggested, but urgent angiography is needed to exclude obstructive CAD or acute plaque rupture.","Takotsubo is suggested, but urgent angiography is needed to exclude obstructive CAD or acute plaque rupture.","Correct answer: A — Coronary angiography. Takotsubo is suggested, but urgent angiography is needed to exclude obstructive CAD or acute plaque rupture. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Cardiomyopathy
424,MCQ,Near-syncope with sinus rhythm and occasionally dropped P waves on ECG. Most appropriate next diagnostic step?,Electrophysiology study (EPS),24-hour Holter monitoring,Exercise stress testing,Implantation of a pacemaker,,,B,B — 24-hour Holter monitoring,Suspected sinus node dysfunction or sinus exit block is best evaluated initially with ambulatory monitoring.,Suspected sinus node dysfunction or sinus exit block is best evaluated initially with ambulatory monitoring.,"Correct answer: B — 24-hour Holter monitoring. Suspected sinus node dysfunction or sinus exit block is best evaluated initially with ambulatory monitoring. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Arrhythmia
425,MCQ,Lymphoma patient on chemotherapy has reduced EF and elevated natriuretic peptides but is asymptomatic. Next best step?,Stop chemotherapy and start an ACE inhibitor,Start an ACE inhibitor without stopping chemotherapy,Stop chemotherapy immediately,Observation with repeat echocardiogram in 1 month,,,B,B — Start an ACE inhibitor without stopping chemotherapy,Asymptomatic chemotherapy-related LV dysfunction is generally managed with HF therapy while continuing chemotherapy if possible.,Asymptomatic chemotherapy-related LV dysfunction is generally managed with HF therapy while continuing chemotherapy if possible.,"Correct answer: B — Start an ACE inhibitor without stopping chemotherapy. Asymptomatic chemotherapy-related LV dysfunction is generally managed with HF therapy while continuing chemotherapy if possible. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Cardio-oncology
426,MCQ,"Bilateral leg swelling, low-voltage ECG, multiple myeloma, thick ventricular walls, and diastolic heart failure. Most likely etiology?",Amyloidosis,Hypertrophic cardiomyopathy,Long-standing hypertension,Sarcoidosis,,,A,A — Amyloidosis,"Low voltage plus increased wall thickness, especially with myeloma, strongly suggests cardiac amyloidosis.","Low voltage plus increased wall thickness, especially with myeloma, strongly suggests cardiac amyloidosis.","Correct answer: A — Amyloidosis. Low voltage plus increased wall thickness, especially with myeloma, strongly suggests cardiac amyloidosis. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Cardiomyopathy
427,MCQ,"Active woman with severe primary MR from anterior MVP, LVEF 55%, LVESD 41 mm, asymptomatic. Next best management?",Initiate furosemide,Order ambulatory ECG monitoring to screen for AF,Refer for mitral valve surgery,Repeat transthoracic echocardiogram in 6 months,,,C,C — Refer for mitral valve surgery,Severe primary MR with LVESD >40 mm is an indication for surgery even without symptoms.,Severe primary MR with LVESD >40 mm is an indication for surgery even without symptoms.,"Correct answer: C — Refer for mitral valve surgery. Severe primary MR with LVESD >40 mm is an indication for surgery even without symptoms. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Valvular
428,MCQ,Pregnant woman with symptomatic atrial flutter who is hemodynamically stable. Most appropriate first-line treatment?,Dofetilide,Ibutilide IV,DC cardioversion with 360 J,DC cardioversion with 50 J,,,D,D — DC cardioversion with 50 J,DC cardioversion with 50 J is safe and highly effective for atrial flutter in pregnancy.,DC cardioversion with 50 J is safe and highly effective for atrial flutter in pregnancy.,"Correct answer: D — DC cardioversion with 50 J. DC cardioversion with 50 J is safe and highly effective for atrial flutter in pregnancy. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Pregnancy/Arrhythmia
429,MCQ,"JVP rises with inspiration, hepatomegaly, ascites, low-voltage ECG, respiratory variation of mitral/tricuspid inflow, and discordant LV/RV peaks on cath. Most consistent diagnosis?",Acute viral pericarditis,Constrictive pericarditis,Restrictive cardiomyopathy,Severe pulmonary hypertension,,,B,B — Constrictive pericarditis,"The combination of Kussmaul sign, ventricular interdependence, and equalized diastolic pressures is typical of constrictive pericarditis.","The combination of Kussmaul sign, ventricular interdependence, and equalized diastolic pressures is typical of constrictive pericarditis.","Correct answer: B — Constrictive pericarditis. The combination of Kussmaul sign, ventricular interdependence, and equalized diastolic pressures is typical of constrictive pericarditis. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Pericardial disease
430,MCQ,Syncope during micturition in an elderly woman with unremarkable exam and ECG. Most likely etiology?,Arrhythmogenic,Neurocardiogenic,Neurologic,Orthostatic hypotension,,,B,B — Neurocardiogenic,Micturition syncope is a classic form of situational neurocardiogenic syncope.,Micturition syncope is a classic form of situational neurocardiogenic syncope.,"Correct answer: B — Neurocardiogenic. Micturition syncope is a classic form of situational neurocardiogenic syncope. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Syncope
431,MCQ,"Ischemic cardiomyopathy, LVEF 30%, NYHA II, LBBB with QRS 135 ms on optimal medical therapy. Recommended management?",Refer for transplant assessment,Refer for ICD,Refer for CRT-D,Refer for CRT-P,Perform a dyssynchrony echocardiogram,,C,C — Refer for CRT-D,"This patient meets criteria for CRT-D based on ischemic cardiomyopathy, reduced EF, symptoms, and LBBB ≥130 ms.","This patient meets criteria for CRT-D based on ischemic cardiomyopathy, reduced EF, symptoms, and LBBB ≥130 ms.","Correct answer: C — Refer for CRT-D. This patient meets criteria for CRT-D based on ischemic cardiomyopathy, reduced EF, symptoms, and LBBB ≥130 ms. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Heart failure/Device therapy
432,MCQ,Newly diagnosed breast cancer planned for doxorubicin or trastuzumab; concern about preventing chemotherapy-induced cardiomyopathy. Most appropriate medication to add?,Candesartan,Carvedilol,Atorvastatin,Lisinopril,Spironolactone,,B,B — Carvedilol,Beta-blockers such as carvedilol have evidence for reducing anthracycline- or trastuzumab-related LV dysfunction in high-risk patients.,Beta-blockers such as carvedilol have evidence for reducing anthracycline- or trastuzumab-related LV dysfunction in high-risk patients.,"Correct answer: B — Carvedilol. Beta-blockers such as carvedilol have evidence for reducing anthracycline- or trastuzumab-related LV dysfunction in high-risk patients. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Cardio-oncology
433,MCQ,80% in-stent restenosis 3 months after proximal LAD stent placement. Best next step?,Balloon angioplasty with drug-coated balloon,Restenting with a drug-eluting stent,Coronary artery bypass grafting,Medical management only,,,A,A — Balloon angioplasty with drug-coated balloon,"For DES-ISR, drug-coated balloon angioplasty is a preferred initial strategy to avoid additional stent layers.","For DES-ISR, drug-coated balloon angioplasty is a preferred initial strategy to avoid additional stent layers.","Correct answer: A — Balloon angioplasty with drug-coated balloon. For DES-ISR, drug-coated balloon angioplasty is a preferred initial strategy to avoid additional stent layers. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Interventional cardiology
434,MCQ,"Longstanding Raynaud phenomenon in a thin, anxious woman with prior methamphetamine use. Most likely cause?",Heroin,Methamphetamines,Hypothyroidism,Carpal tunnel syndrome,Cigarette smoking,,B,B — Methamphetamines,Methamphetamines are potent vasoconstrictors and can precipitate secondary Raynaud phenomenon.,Methamphetamines are potent vasoconstrictors and can precipitate secondary Raynaud phenomenon.,"Correct answer: B — Methamphetamines. Methamphetamines are potent vasoconstrictors and can precipitate secondary Raynaud phenomenon. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Vascular medicine
435,MCQ,Young male smoker with progressive claudication and toe gangrene. Most likely cause?,Elevated anticardiolipin antibodies,Thromboangiitis obliterans (Buerger disease),Takayasu arteritis,Premature atherosclerosis,Livedoid vasculitis,,B,B — Thromboangiitis obliterans (Buerger disease),Buerger disease typically affects young male smokers and causes distal ischemia and gangrene.,Buerger disease typically affects young male smokers and causes distal ischemia and gangrene.,"Correct answer: B — Thromboangiitis obliterans (Buerger disease). Buerger disease typically affects young male smokers and causes distal ischemia and gangrene. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Vascular medicine
436,MCQ,Patient with HCV infection and dilated cardiomyopathy (EF 30%) is being evaluated for interferon therapy. Best course of action?,Proceed with interferon therapy with close monitoring of cardiac function,Avoid interferon therapy due to heart failure,Initiate interferon therapy with concurrent use of beta-blockers,Recommend liver transplant before initiating interferon therapy,,,B,B — Avoid interferon therapy due to heart failure,Interferon can worsen significant cardiac disease and is contraindicated in this heart-failure setting.,Interferon can worsen significant cardiac disease and is contraindicated in this heart-failure setting.,"Correct answer: B — Avoid interferon therapy due to heart failure. Interferon can worsen significant cardiac disease and is contraindicated in this heart-failure setting. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Heart failure
437,MCQ,Patient receiving lidocaine for VT develops tremors and a brief seizure. Which finding would most likely confirm lidocaine toxicity rather than digitalis toxicity?,PVCs,Bradycardia and AV block,Tremors and seizures,Visual disturbances such as yellow halos,,,C,C — Tremors and seizures,CNS symptoms such as tremors and seizures are hallmarks of lidocaine toxicity.,CNS symptoms such as tremors and seizures are hallmarks of lidocaine toxicity.,"Correct answer: C — Tremors and seizures. CNS symptoms such as tremors and seizures are hallmarks of lidocaine toxicity. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Toxicology
438,MCQ,Which embryological defect is responsible for development of a VSD?,Maldevelopment of neural crest cells,"Maldevelopment of the endocardial cushions, conotruncal ridges, crest of the interventricular septum, or muscular septum",Incomplete formation of the atrioventricular canal,Abnormal rotation of the truncus arteriosus,,,B,"B — Maldevelopment of the endocardial cushions, conotruncal ridges, crest of the interventricular septum, or muscular septum",VSD results from incomplete closure of the interventricular septum involving these septal components.,VSD results from incomplete closure of the interventricular septum involving these septal components.,"Correct answer: B — Maldevelopment of the endocardial cushions, conotruncal ridges, crest of the interventricular septum, or muscular septum. VSD results from incomplete closure of the interventricular septum involving these septal components. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Embryology
439,MCQ,"In DKA with elevated blood acetone, which substrate is the primary precursor for acetone production?",Pyruvate,Lactate,Acetyl-CoA / Acetoacetate,Oxaloacetate,,,C,C — Acetyl-CoA / Acetoacetate,"In ketosis, acetyl-CoA generates acetoacetate, which can spontaneously decarboxylate to acetone.","In ketosis, acetyl-CoA generates acetoacetate, which can spontaneously decarboxylate to acetone.","Correct answer: C — Acetyl-CoA / Acetoacetate. In ketosis, acetyl-CoA generates acetoacetate, which can spontaneously decarboxylate to acetone. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Biochemistry
440,MCQ,"During anaerobic metabolism, how many ATP molecules are generated from one molecule of glucose?",2 ATP,4 ATP,32 ATP,36 ATP,,,A,A — 2 ATP,Anaerobic glycolysis yields a net of 2 ATP per glucose molecule.,Anaerobic glycolysis yields a net of 2 ATP per glucose molecule.,"Correct answer: A — 2 ATP. Anaerobic glycolysis yields a net of 2 ATP per glucose molecule. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Biochemistry
441,MCQ,"After starting captopril, serum creatinine rises from 0.5 mg/dL to 2.5 mg/dL in one week. Most appropriate next step?",Continue captopril at the same dose,Reduce the dose of captopril by half,Discontinue captopril and initiate hydralazine and isosorbide dinitrate,Add a thiazide diuretic to enhance renal perfusion,,,C,C — Discontinue captopril and initiate hydralazine and isosorbide dinitrate,A >100% creatinine rise indicates significant renal impairment; the ACE inhibitor should be stopped.,A >100% creatinine rise indicates significant renal impairment; the ACE inhibitor should be stopped.,"Correct answer: C — Discontinue captopril and initiate hydralazine and isosorbide dinitrate. A >100% creatinine rise indicates significant renal impairment; the ACE inhibitor should be stopped. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Hypertension
442,MCQ,Inferior STEMI complicated by bradycardia and acute hemodynamic instability with new-onset acute MR. Most likely culprit artery?,Left anterior descending artery (LAD),Right coronary artery (RCA),Left circumflex artery (LCx),Diagonal artery,,,B,B — Right coronary artery (RCA),"Inferior STEMI is classically due to RCA occlusion, which can also affect the posteromedial papillary muscle and AV node.","Inferior STEMI is classically due to RCA occlusion, which can also affect the posteromedial papillary muscle and AV node.","Correct answer: B — Right coronary artery (RCA). Inferior STEMI is classically due to RCA occlusion, which can also affect the posteromedial papillary muscle and AV node. In ACS questions, combine the ECG pattern with the hemodynamic picture and choose the option that best explains the full ischemic territory or high-risk culprit lesion. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",ACS
