question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,correct_answer_text,explanation,explanation_clean,detailed_explanation,topic
11,single,"A 76-year-old woman presents with a history of syncopal episodes and on echocardiography, she is found to have severe aortic stenosis. What pulse character is expected to be found on clinical examination?",Corrigan’s pulse,Pulsus alternans,Pulsus bisferiens,Pulsus paradoxus,Pulsus parvus et tardus,,E,E — Pulsus parvus et tardus,Severe aortic stenosis classically produces a weak and delayed carotid upstroke.,Severe aortic stenosis classically produces a weak and delayed carotid upstroke.,"Correct answer: E — Pulsus parvus et tardus. Severe aortic stenosis classically produces a weak and delayed carotid upstroke. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
12,single,"A 30-year-old woman presented during her fifth month of pregnancy because of edema of the lower limbs, elevated JVP, congested and tender liver. Auscultation revealed diastolic murmur at the precordium that increases with inspiration. Echocardiography showed thickened tricuspid with TV area 1.8 and MVA 1.7 cm. The patient was given diuretics with little improvement. What will you do next?",Mitral balloon valvuloplasty,Tricuspid balloon valvuloplasty,TV replacement,MV and TV valvuloplasty,MV replacement,,B,B — Tricuspid balloon valvuloplasty,"Symptoms are driven mainly by significant tricuspid stenosis, and balloon valvuloplasty is favored during pregnancy.","Symptoms are driven mainly by significant tricuspid stenosis, and balloon valvuloplasty is favored during pregnancy.","Correct answer: B — Tricuspid balloon valvuloplasty. Symptoms are driven mainly by significant tricuspid stenosis, and balloon valvuloplasty is favored during pregnancy. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
13,single,A patient who has persistent AF and was under warfarin with INR 3.5. His treating physician needs to give him immediately a new oral anticoagulant (NOAC). What level of INR can we switch to NOAC?,INR less than 2.0,INR less than 2.5,INR less than 3.0,INR less than 3.5,INR equal to 3.0,,A,A — INR less than 2.0,Switching from warfarin to a NOAC is generally done once INR is below 2.0.,Switching from warfarin to a NOAC is generally done once INR is below 2.0.,"Correct answer: A — INR less than 2.0. Switching from warfarin to a NOAC is generally done once INR is below 2.0. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Arrhythmia
14,single,"A 28-year-old man is admitted for syncope following exercise. He has no prior medical history, and physical examination is normal. Family history is notable for a history of sudden cardiac death. ECG shows evidence of a long QT interval with broad-based T waves. This patient most likely has a mutation in which ion channel?",NPPA,SCN5A,KCNQ1,KCNH2,HCN4,,C,C — KCNQ1,Exercise-triggered syncope with broad-based T waves suggests LQT1 due to KCNQ1 mutation.,Exercise-triggered syncope with broad-based T waves suggests LQT1 due to KCNQ1 mutation.,"Correct answer: C — KCNQ1. Exercise-triggered syncope with broad-based T waves suggests LQT1 due to KCNQ1 mutation. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Inherited Arrhythmia
15,single,All of the following findings would suggest a diagnosis of hypertrophic cardiomyopathy except:,Paradoxically split S2,Bifid pulse,"""Triple ripple"" apical impulse",S4,Fixed split S2,,E,E — Fixed split S2,"Fixed splitting of S2 is classically associated with ASD, not HCM.","Fixed splitting of S2 is classically associated with ASD, not HCM.","Correct answer: E — Fixed split S2. Fixed splitting of S2 is classically associated with ASD, not HCM. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Physical Exam
16,single,"A 65-year-old man was referred for cardiac consultation following a 2-year history of dyspnea on minimal exertion. He had a coronary angiography in the past that revealed normal coronaries. His physical examination revealed a 3/6 ejection systolic murmur across the precordium. An echo was obtained showing left ventricular dysfunction with an EF of 38%, a calcified aortic valve with a mean gradient of 29 mm Hg, and AVA of 0.9 cm². Which of the following is the best next step in the management of this patient?",SAVR after coronary angiography,Left and right cardiac catheterization,Exercise treadmill testing,TAVR,Dobutamine stress echocardiography (DSE),,E,E — Dobutamine stress echocardiography (DSE),Reduced EF with low gradient and small AVA suggests possible low-flow low-gradient AS; DSE helps distinguish true from pseudo-severe AS.,Reduced EF with low gradient and small AVA suggests possible low-flow low-gradient AS; DSE helps distinguish true from pseudo-severe AS.,"Correct answer: E — Dobutamine stress echocardiography (DSE). Reduced EF with low gradient and small AVA suggests possible low-flow low-gradient AS; DSE helps distinguish true from pseudo-severe AS. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Valvular
17,single,"A 67-year-old man with a prior medical history of HTN and AF was referred for cardiac consultation following a 2-year history of chest discomfort on minimal exertion. His physical examination revealed a late-peaking 3/6 ejection systolic murmur with a soft and single S2. An echo was obtained showing LVH with an EF of 62%, moderate right ventricular dysfunction, moderate MR, a calcified aortic valve with a mean gradient of 29 mm Hg, and AVA of 0.7 cm². Which of the following parameters may not be a contributor to paradoxical low-flow, low-gradient severe aortic stenosis?",Hypertensive heart disease,Atrial fibrillation,Right ventricular dysfunction,Occult aortic regurgitation,Mitral regurgitation,,D,D — Occult aortic regurgitation,Aortic regurgitation increases transaortic flow rather than causing low-flow low-gradient AS.,Aortic regurgitation increases transaortic flow rather than causing low-flow low-gradient AS.,"Correct answer: D — Occult aortic regurgitation. Aortic regurgitation increases transaortic flow rather than causing low-flow low-gradient AS. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
18,single,"A 52-year-old man with no prior medical history was referred for cardiac consultation following a 1-year history of chest pain and dyspnea on exertion. Palpation of the carotid arteries demonstrated a pulse low in volume and delayed in upstroke. His remaining physical examination revealed a late-peaking 3/6 systolic ejection murmur with a soft and single S2. An echo was obtained showing LVH with an EF of 62%, a calcified bicuspid aortic valve with a mean gradient of 44 mm Hg, and AVA of 0.7 cm². Which of the following is the best next step in the management of this patient?",SAVR after coronary angiography,Stress cardiac magnetic resonance,Exercise treadmill testing,TAVR,DSE,,A,A — SAVR after coronary angiography,This is symptomatic high-flow severe AS in a low-risk bicuspid valve patient; SAVR is appropriate.,This is symptomatic high-flow severe AS in a low-risk bicuspid valve patient; SAVR is appropriate.,"Correct answer: A — SAVR after coronary angiography. This is symptomatic high-flow severe AS in a low-risk bicuspid valve patient; SAVR is appropriate. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Valvular
19,single,"A 65-year-old man was referred for cardiac consultation following a 2-year history of dyspnea on exertion. He had a coronary angiography in the past that revealed normal coronaries. Palpation of the carotid arteries demonstrated a pulse low in volume and delayed in upstroke. His remaining physical examination revealed a late-peaking 3/6 systolic ejection murmur with a soft and single S2. An echo was obtained showing LVH with an EF of 64%, a calcified aortic valve with a mean gradient of 28 mm Hg, and AVA of 1.5 cm². Which of the following is the best management approach for this patient?",SAVR after coronary angiography,Left and right cardiac catheterization,Exercise treadmill testing,TAVR,Observe,,B,B — Left and right cardiac catheterization,Discordant clinical and echo findings should be clarified with invasive hemodynamics.,Discordant clinical and echo findings should be clarified with invasive hemodynamics.,"Correct answer: B — Left and right cardiac catheterization. Discordant clinical and echo findings should be clarified with invasive hemodynamics. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Valvular
20,single,"An 89-year-old woman with a prior history of CABG, HTN, type 2 DM, stage III CKD, COPD, and PAD presented to the clinic for routine follow-up. The patient appeared frail but denied any cardiovascular symptoms. Her physical examination revealed parvus tardus carotid pulse and a late-peaking 3/6 systolic ejection murmur with a single S2. An echo was obtained showing left ventricular dysfunction with an EF of 44%, a calcified aortic valve with a mean gradient of 48 mm Hg, and AVA of 0.8 cm². Which of the following is the best management approach for this patient?",SAVR after coronary angiography,Left and right cardiac catheterization,Exercise treadmill testing,TAVR,Observe,,D,D — TAVR,"In a frail elderly high-risk patient with severe AS, TAVR is preferable.","In a frail elderly high-risk patient with severe AS, TAVR is preferable.","Correct answer: D — TAVR. In a frail elderly high-risk patient with severe AS, TAVR is preferable. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Valvular
21,single,"A 29-year-old man with no known cardiovascular history presented to the ED complaining of acute dyspnea. On arrival, the patient appeared pale with cool distal extremities, peripheral cyanosis, and tachycardia. The physical examination revealed a relatively unsustained left ventricular impulse that was neither hyperdynamic nor significantly displaced to the left, a short and soft diastolic murmur, pulmonary rales, and an elevated JVP. A wide pulse pressure was not seen during the examination. An echo was obtained showing a premature mitral valve closure and fluttering of the mitral valve leaflets, most effectively demonstrated using M-mode echocardiography. Continuous-wave Doppler of the regurgitant jet demonstrated a markedly shortened pressure half-time. Which of the following is the best next step in the management of this patient?",Aortic balloon counterpulsation,Beta-blocker infusion,Atrial pacing,SAVR,TAVR,,D,D — SAVR,This is acute severe aortic regurgitation; urgent surgical valve replacement is the definitive treatment.,This is acute severe aortic regurgitation; urgent surgical valve replacement is the definitive treatment.,"Correct answer: D — SAVR. This is acute severe aortic regurgitation; urgent surgical valve replacement is the definitive treatment. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Valvular
22,single,Holodiastolic reversal of flow within the descending aorta detected by pulsed-wave Doppler is an abnormal finding typically consistent with at least moderate (present in the proximal descending aorta) or severe (present in the abdominal aorta) AR. In which of the following scenarios can holodiastolic retrograde aortic flow not be seen in the absence of AR?,Ruptured sinus of Valsalva aneurysm,Left-to-right shunt across a patent ductus arteriosus,Upper extremity arterio-venous fistula,Aortic dissection with diastolic flow into the false lumen,None of the above,,E,E — None of the above,Each of the listed conditions can produce holodiastolic retrograde aortic flow even without AR.,Each of the listed conditions can produce holodiastolic retrograde aortic flow even without AR.,"Correct answer: E — None of the above. Each of the listed conditions can produce holodiastolic retrograde aortic flow even without AR. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",Echocardiography
23,single,"A 66-year-old woman with a prior history of type 2 diabetes, depression, and childhood asthma was referred by her GP to the cardiology clinic because of a 2-year history of progressive dyspnea on exertion. Physical examination revealed a holodiastolic murmur best heard along the left sternal border and a 2/4 diastolic rumble noted at the apex. In addition, there was a sharp carotid upstroke followed by a rapid decline. An echocardiogram was obtained demonstrating severe aortic regurgitation, a left ventricular ejection fraction of 52%, and left ventricular end systolic dimension of 49 mm. Which of the following is the best next step in the management of this patient?",Nitroprusside infusion,Initiation of an angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme inhibitor and follow-up,TAVR,SAVR,,E,E — SAVR,Symptomatic severe chronic AR requires surgery; SAVR is preferred because TAVR is less suitable for pure AR.,Symptomatic severe chronic AR requires surgery; SAVR is preferred because TAVR is less suitable for pure AR.,"Correct answer: E — SAVR. Symptomatic severe chronic AR requires surgery; SAVR is preferred because TAVR is less suitable for pure AR. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Valvular
24,single,"A 71-year-old man with a prior history of diet-controlled type 2 diabetes and COPD was referred by his GP to the cardiology clinic because of a heart murmur. He was a very active gentleman without any cardiovascular symptoms. Physical examination revealed a diastolic blowing sound best heard along the left sternal border with the patient sitting up and leaning forward and an exaggerated carotid upstroke. In addition, the apical beat was easily visible and palpable, and it was oriented downward and to the left. An echocardiogram was obtained demonstrating severe aortic regurgitation, a LVEF of 65%, and LVESD of 67 mm. Which of the following is the best next step in the management of this patient?",Initiation of nifedipine,Exercise treadmill testing,SAVR,Exercise echocardiography,Follow-up,,C,C — SAVR,Asymptomatic severe AR with LVESD ≥50 mm is an indication for SAVR even with preserved EF.,Asymptomatic severe AR with LVESD ≥50 mm is an indication for SAVR even with preserved EF.,"Correct answer: C — SAVR. Asymptomatic severe AR with LVESD ≥50 mm is an indication for SAVR even with preserved EF. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Valvular
25,single,"A 61-year-old man with no known cardiovascular history was referred by his GP to the cardiology clinic because of a heart murmur. He was active and asymptomatic. Physical examination revealed a holodiastolic murmur best heard along the left sternal border. In addition, there was a sharp carotid upstroke followed by a rapid decline. An echocardiogram was obtained demonstrating severe aortic regurgitation, a left ventricular ejection fraction of 45%, and left ventricular end systolic dimension of 37 mm. Which of the following is the best next step in the management of this patient?",Initiation of a vasodilator,Exercise treadmill testing,Follow-up,Exercise echocardiography,SAVR,,E,E — SAVR,Severe AR with LVEF below 50% requires surgery even if LVESD is still normal.,Severe AR with LVEF below 50% requires surgery even if LVESD is still normal.,"Correct answer: E — SAVR. Severe AR with LVEF below 50% requires surgery even if LVESD is still normal. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Valvular
26,single,"A 55-year-old woman with no prior cardiac history was admitted to the emergency department complaining of a 6-month history of dyspnea. On physical examination, she had jugular venous distension, distended abdomen secondary to hepatomegaly and tense ascites, severe bilateral lower limbs pitting edema, and an S3 gallop. After an initial management she was referred to the cardiologist, who performed an echocardiography, and some of the images are illustrated in the figures. Based on the echo’s findings, which of the following is the most likely diagnosis?",Constrictive pericarditis,Amyloid-induced cardiomyopathy,Hypereosinophilic cardiomyopathy,Endomyocardial fibrosis,Idiopathic restrictive cardiomyopathy,,A,A — Constrictive pericarditis,Restrictive filling with relatively preserved medial annular e′ favors constrictive pericarditis over restrictive cardiomyopathy.,Restrictive filling with relatively preserved medial annular e′ favors constrictive pericarditis over restrictive cardiomyopathy.,"Correct answer: A — Constrictive pericarditis. Restrictive filling with relatively preserved medial annular e′ favors constrictive pericarditis over restrictive cardiomyopathy. Exam tip: when the question asks for the next best step, choose the most appropriate immediate action for the stage described in the stem.",Pericardium
27,single,The radial artery approach is associated with reduced bleeding complications and increased patient satisfaction. Which of the following factors is not an additional reason to favor the right radial artery approach over the femoral artery approach?,Easy access,Direct cannulation of left internal mammary artery grafts in patients with prior coronary bypass,Most secure hemostasis in fully anticoagulated patients,Radial artery occlusion is generally well tolerated,Superficial location,,B,B — Direct cannulation of left internal mammary artery grafts in patients with prior coronary bypass,"Cannulating LIMA grafts is more anatomically favorable from the left radial, not the right radial, approach.","Cannulating LIMA grafts is more anatomically favorable from the left radial, not the right radial, approach.","Correct answer: B — Direct cannulation of left internal mammary artery grafts in patients with prior coronary bypass. Cannulating LIMA grafts is more anatomically favorable from the left radial, not the right radial, approach. In interventional questions, prioritize the measure with the strongest proven practical benefit at the stage described in the stem. Exam tip: distinguish between the most likely event in this specific patient and the most common complication overall.",Intervention
28,single,"A 75-year-old woman with a prior history of uncontrolled type 2 diabetes and stage IV chronic kidney disease was admitted to the hospital for exertional chest pain and dyspnea. Initial ECG showed T-wave inversions in high lateral leads, and biomarkers were above the upper limit of normal. The patient was brought to the catheterization laboratory within 24 hours. Which of the following pharmacologic regimens has recently been demonstrated to perform better than volume loading with normal saline in reducing the risk for contrast-induced nephropathy (CIN)?",IV bolus of furosemide immediately before the procedure,Continuous IV furosemide infusion throughout the procedure,IV mannitol,Calcium channel blockers,None of the above,,E,E — None of the above,No drug regimen outperforms careful hydration and contrast minimization for CIN prevention.,No drug regimen outperforms careful hydration and contrast minimization for CIN prevention.,"Correct answer: E — None of the above. No drug regimen outperforms careful hydration and contrast minimization for CIN prevention. In interventional questions, prioritize the measure with the strongest proven practical benefit at the stage described in the stem. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Intervention
29,single,Myocardial blood flow has been assessed angiographically using the thrombolysis in myocardial infarction (TIMI) score for qualitative grading of coronary flow. Which of the following TIMI flow grades is false?,Flow equal to that in noninfarct arteries (TIMI-3),Delayed or sluggish antegrade flow with complete filling of the distal coronary bed (TIMI-2),Filling beyond the culprit lesion but faint antegrade flow with incomplete filling of the distal coronary bed (TIMI-1),No flow beyond the occlusion (TIMI-0),Flow faster than that in noninfarct arteries (TIMI-4),,E,E — Flow faster than that in noninfarct arteries (TIMI-4),TIMI grades range from 0 to 3; there is no TIMI grade 4.,TIMI grades range from 0 to 3; there is no TIMI grade 4.,"Correct answer: E — Flow faster than that in noninfarct arteries (TIMI-4). TIMI grades range from 0 to 3; there is no TIMI grade 4. In interventional questions, prioritize the measure with the strongest proven practical benefit at the stage described in the stem. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Intervention
30,single,"Unlike fractional flow reserve (FFR), coronary flow reserve (CFR) is subject to variations in hemodynamics that may alter resting flow and limit maximal hyperemic flow. Which of the following clinical situations cannot affect CFR?",Tachycardia,Dyslipidemia,Diabetes,Age,Hypertension,,B,B — Dyslipidemia,"Tachycardia, diabetes, age, and hypertension can alter resting or hyperemic flow; dyslipidemia has no direct hemodynamic effect on CFR.","Tachycardia, diabetes, age, and hypertension can alter resting or hyperemic flow; dyslipidemia has no direct hemodynamic effect on CFR.","Correct answer: B — Dyslipidemia. Tachycardia, diabetes, age, and hypertension can alter resting or hyperemic flow; dyslipidemia has no direct hemodynamic effect on CFR. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Coronary Physiology
31,single,A 75-year-old female presents with nausea and vomiting to the emergency department. Her ECG reveals ST elevation in the inferior leads. Which of the following findings is most likely to suggest the presence of an accompanying right ventricular infarct?,Negative T wave in V4R,QS pattern in lead III,ST elevations in lead II > III,ST elevations in lead V4R,ST depression in V4R,,D,D — ST elevations in lead V4R,ST elevation in V4R is the most specific ECG sign of RV infarction.,ST elevation in V4R is the most specific ECG sign of RV infarction.,"Correct answer: D — ST elevations in lead V4R. ST elevation in V4R is the most specific ECG sign of RV infarction. In ACS questions, combine the ECG pattern with the hemodynamic picture and choose the option that best explains the full ischemic territory or high-risk culprit lesion. Exam tip: for mechanism or pathology questions, anchor your choice to the defining morphologic or molecular hallmark.",ACS
32,single,"A 53-year-old woman presents with hypertension. Her serum laboratory tests are notable for hypokalemia, metabolic alkalosis, adiposity, or hair loss. Which is the next best diagnostic test?",Dexamethasone suppression test,Plasma renin and aldosterone,Serum metanephrines,Genetic testing,None of the above,,B,B — Plasma renin and aldosterone,The profile suggests primary hyperaldosteronism; renin and aldosterone testing is the next step.,The profile suggests primary hyperaldosteronism; renin and aldosterone testing is the next step.,"Correct answer: B — Plasma renin and aldosterone. The profile suggests primary hyperaldosteronism; renin and aldosterone testing is the next step. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Endocrine
