question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer,correct_answer_text,explanation,explanation_clean,detailed_explanation,topic
211,single,"A 54-year-old man is 48 hours post-MI. He has new pulmonary edema and falling urine output. On examination, there is a pansystolic murmur loudest at the apex. Which complication of myocardial infarction is most likely to have occurred?",Acute mitral regurgitation,Acute pulmonary regurgitation,Atrial septal defect,Ventricular rupture,Ventricular septal defect,,A,A — Acute mitral regurgitation,A new pansystolic apical murmur 48 hours after MI with pulmonary edema suggests papillary muscle rupture or dysfunction causing acute mitral regurgitation.,A new pansystolic apical murmur 48 hours after MI with pulmonary edema suggests papillary muscle rupture or dysfunction causing acute mitral regurgitation.,"Correct answer: A — Acute mitral regurgitation. A new pansystolic apical murmur 48 hours after MI with pulmonary edema suggests papillary muscle rupture or dysfunction causing acute mitral regurgitation. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: distinguish between the most likely event in this specific patient and the most common complication overall.",Valvular
212,single,"A 43-year-old man presents with acute central chest pain radiating to his back. He is pale and sweaty, blood pressure is unequal between the arms, auscultation reveals aortic regurgitation, and ECG complexes look small. Which diagnosis best fits this picture?",Acute myocardial infarction,Aortic dissection,Aortic regurgitation,Pericarditis,Subacute bacterial endocarditis,,B,B — Aortic dissection,"Acute chest pain radiating to the back, unequal arm blood pressures, and acute aortic regurgitation strongly suggest aortic dissection.","Acute chest pain radiating to the back, unequal arm blood pressures, and acute aortic regurgitation strongly suggest aortic dissection.","Correct answer: B — Aortic dissection. Acute chest pain radiating to the back, unequal arm blood pressures, and acute aortic regurgitation strongly suggest aortic dissection. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
213,single,"A 26-year-old woman attends for an insurance medical. On examination her BMI is 21 and BP is 105/62 mmHg. Auscultation reveals a mid-systolic click and a late systolic murmur at the apex, accentuated in the standing position. What diagnosis best fits this clinical picture?",Atrial septal defect,Constrictive pericarditis,Mitral regurgitation,Mitral stenosis,Mitral valve prolapse,,E,E — Mitral valve prolapse,A mid-systolic click and late systolic murmur at the apex that increase on standing are classic for mitral valve prolapse.,A mid-systolic click and late systolic murmur at the apex that increase on standing are classic for mitral valve prolapse.,"Correct answer: E — Mitral valve prolapse. A mid-systolic click and late systolic murmur at the apex that increase on standing are classic for mitral valve prolapse. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
214,single,"A 25-year-old computer programmer suddenly develops dysphasia and right-sided weakness. He is obese with a BMI of 34 kg/m”. You note that his left leg is swollen. His blood pressure is 155/85 mmHg, and his pulse is 85 bpm and regular. Which investigation would confirm the underlying cardiological diagnosis?",Chest X-ray,12-lead ECG,2D echocardiography,Carotid Doppler study,Transesophageal echocardiogram with bubble study,,E,E — Transesophageal echocardiogram with bubble study,"This young patient with sudden dysphasia, right-sided weakness, and a swollen left leg likely has a paradoxical embolism, possibly due to a patent foramen ovale (PFO). The transesophageal echocardiogram with bubble study is the gold standard to confirm PFO, as it can detect right-to-left shunting, which allows emboli from a deep vein thrombosis to bypass the lungs and cause a stroke.","This young patient with sudden dysphasia, right-sided weakness, and a swollen left leg likely has a paradoxical embolism, possibly due to a patent foramen ovale (PFO). The transesophageal echocardiogram with bubble study is the gold standard to confirm PFO, as it can detect right-to-left shunting, which allows emboli from a deep vein thrombosis to bypass the lungs and cause a stroke.","Correct answer: E — Transesophageal echocardiogram with bubble study. This young patient with sudden dysphasia, right-sided weakness, and a swollen left leg likely has a paradoxical embolism, possibly due to a patent foramen ovale (PFO). The transesophageal echocardiogram with bubble study is the gold standard to confirm PFO, as it can detect right-to-left shunting, which allows emboli from a deep vein thrombosis to bypass the lungs and cause a stroke. In congenital cardiology, pulse discrepancies, murmur location, and the distribution of cyanosis usually point directly to the underlying anatomy. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Congenital
215,single,"A 68-year-old woman recently diagnosed with multiple myeloma presents to her GP with progressively increasing breathlessness, reduced exercise tolerance, and ankle swelling. On examination, there is bilateral leg pitting edema to her thighs, ascites, and raised JVP. The apical impulse is impalpable. An ECG shows diffusely diminished voltage. Chest X-ray is normal, and the echocardiogram shows small, thick ventricles and dilated atria with a thickened interatrial septum. The ventricular myocardium has a granular sparkling texture on echo, and minimal fluid in the pericardial space is noted. What is the most likely diagnosis leading to symptoms of cardiac failure?",Chronic pericardial effusion with tamponade,Chronic pericardial effusion without tamponade,Constrictive pericarditis,Restrictive cardiomyopathy,Congestive heart failure,,D,D — Restrictive cardiomyopathy,"The patient’s findings, including diminished ECG voltage, thickened myocardium with a granular sparkling appearance on echocardiography, and a history of multiple myeloma, strongly indicate restrictive cardiomyopathy. This condition is commonly caused by amyloidosis, which is associated with multiple myeloma. Restrictive cardiomyopathy leads to diastolic dysfunction and features of heart failure with preserved ejection fraction.","The patient's findings, including diminished ECG voltage, thickened myocardium with a granular sparkling appearance on echocardiography, and a history of multiple myeloma, strongly indicate restrictive cardiomyopathy. This condition is commonly caused by amyloidosis, which is associated with multiple myeloma. Restrictive cardiomyopathy leads to diastolic dysfunction and features of heart failure with preserved ejection fraction.","Correct answer: D — Restrictive cardiomyopathy. The patient's findings, including diminished ECG voltage, thickened myocardium with a granular sparkling appearance on echocardiography, and a history of multiple myeloma, strongly indicate restrictive cardiomyopathy. This condition is commonly caused by amyloidosis, which is associated with multiple myeloma. Restrictive cardiomyopathy leads to diastolic dysfunction and features of heart failure with preserved ejection fraction. Exam tip: for diagnosis questions, identify the single option that explains the entire clinical pattern rather than only one isolated clue.",Pericardial
216,single,"A 70-year-old woman presents to the preoperative orthopedic clinic before hip = replacement. She has suffered a myocardial infarction 4 years earlier and is managed aspirin 75 mg daily, ramipril 10 mg daily, and atorvastatin 40 mg daily. There is no histg angina, but she is only able to walk around 50 yards due to hip pain. On examination gp. looks well, and her BP is 145/80 mmHg with a pulse of 75 bpm. The investigation results show a hemoglobin of 140 g/L, WCC of 5.9 x 10°/L, platelets of 180 x 10°/L, sodium of q MMOoUL, potassium of 5.0 mmoVL, and creatinine of 130 pmol/L. Whichoneofthe following is the most appropriate investigation to assess her suitability for surgery from , point of view of her cardiovascular status? f",12-lead ECG 4,Cardiac angiography ;,Dobutamine stress echo qd) Echocardiogram },,Treadmill stress test,,C,C — Dobutamine stress echo qd) Echocardiogram },"In a patient with a history of MI and limited mobility (unable to perform afl exercise stress test due to hip pain), a dobutamine stress echo is the most appropriate investigation. It evaluates myocardial ischemia and LV function non-invasively while simulating exercise stress. This helps assess cardiovascular fitness for surgery in patien who cannot perform physical stress tests.","In a patient with a history of MI and limited mobility (unable to perform afl exercise stress test due to hip pain), a dobutamine stress echo is the most appropriate investigation. It evaluates myocardial ischemia and LV function non-invasively while simulating exercise stress. This helps assess cardiovascular fitness for surgery in patien who cannot perform physical stress tests.","Correct answer: C — Dobutamine stress echo qd) Echocardiogram }. In a patient with a history of MI and limited mobility (unable to perform afl exercise stress test due to hip pain), a dobutamine stress echo is the most appropriate investigation. It evaluates myocardial ischemia and LV function non-invasively while simulating exercise stress. This helps assess cardiovascular fitness for surgery in patien who cannot perform physical stress tests. In interventional questions, prioritize the measure with the strongest proven practical benefit at the stage described in the stem. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Intervention
217,single,"You are called urgently to review a 54-year-old man who has developed acute onset pulmonary edema some 36 h after his myocardial infarction. On arrival, you note that h blood pressure is 95/50 mmHg with a pulse of 110 bpm regular, and a pansystolic murp is noted. There are crackles on auscultation of the chest consistent with heart failure. Which one of the following represents the next investigation of choice inthis man? _",Referral for angiography oa | B) Troponin | ort,,Troponin T ) rf,Urgent chest X-ray },Urgent echocardiogram +,,E,E — Urgent echocardiogram +,"The patient’s acute pulmonary edema, hypotension, and new pansysto! ic | murmur after a recent myocardial infarction strongly suggest a mechanical complicat | such as papillary muscle rupture or ventricular septal defect. An urgent echocardio; aE is the investigation of choice to confirm the diagnosis and guide immediate manager n","The patient's acute pulmonary edema, hypotension, and new pansysto! ic | murmur after a recent myocardial infarction strongly suggest a mechanical complicat | such as papillary muscle rupture or ventricular septal defect. An urgent echocardio; aE is the investigation of choice to confirm the diagnosis and guide immediate manager n","Correct answer: E — Urgent echocardiogram +. The patient's acute pulmonary edema, hypotension, and new pansysto! ic | murmur after a recent myocardial infarction strongly suggest a mechanical complicat | such as papillary muscle rupture or ventricular septal defect. An urgent echocardio; aE is the investigation of choice to confirm the diagnosis and guide immediate manager n. In interventional questions, prioritize the measure with the strongest proven practical benefit at the stage described in the stem. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Intervention
218,single,A 26-year-old man is admitted to the Emergency Department after a road traffic collision. His ECG shows ST segment elevation in leads V2-V5. Which one of the fol ov is the most likely cause? 12g,Coronary artery dissection 7,Localized pericarditis e,Myocardial contusion,Myocardial infarction secondary to thrombosis of RCA j,Pericardial effusion ; 80 a emma,,C,C — Myocardial contusion,"ST elevation in leads V2-V5 in the context of a road traffic collision is most likely due to myocardial contusion, which results from direct chest trauma causing localized myocardial injury.","ST elevation in leads V2-V5 in the context of a road traffic collision is most likely due to myocardial contusion, which results from direct chest trauma causing localized myocardial injury.","Correct answer: C — Myocardial contusion. ST elevation in leads V2-V5 in the context of a road traffic collision is most likely due to myocardial contusion, which results from direct chest trauma causing localized myocardial injury. When the stem spans symptoms, auscultation, and embolic phenomena, choose the option that best integrates all of them rather than a partial fit. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Miscellaneous
219,single,A 28-year-old woman who is known to have a cardiac murmur becomes pregnant. It is noted that the intensity of her murmur diminishes during her pregnancy. Which cardiac abnormality is she likely to have?,Aortic stenosis,Aortic regurgitation,Tricuspid stenosis,Pulmonary stenosis,Atrial septal defect,,B,B — Aortic regurgitation,"During pregnancy, systemic vascular resistance (afterload) decreases significantly. In aortic regurgitation, the regurgitant volume (i.e., the backward flow from the aorta into the left ventricle) is heavily influenced by afterload. When systemic vascular resistance drops, less blood is driven backward through the aortic valve, and the regurgitant fraction falls. Consequently, the murmur of aortic regurgitation often becomes softer (less intense) during pregnancy.","During pregnancy, systemic vascular resistance (afterload) decreases significantly. In aortic regurgitation, the regurgitant volume (i. e., the backward flow from the aorta into the left ventricle) is heavily influenced by afterload. When systemic vascular resistance drops, less blood is driven backward through the aortic valve, and the regurgitant fraction falls. Consequently, the murmur of aortic regurgitation often becomes softer (less intense) during pregnancy.","Correct answer: B — Aortic regurgitation. During pregnancy, systemic vascular resistance (afterload) decreases significantly. In aortic regurgitation, the regurgitant volume (i. e., the backward flow from the aorta into the left ventricle) is heavily influenced by afterload. When systemic vascular resistance drops, less blood is driven backward through the aortic valve, and the regurgitant fraction falls. Consequently, the murmur of aortic regurgitation often becomes softer (less intense) during pregnancy. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
220,single,"A 53-year-old woman who has had chemotherapy for metastatic breast cancer six months earlier comes to the clinic complaining of shortness of breath on exertion. Her BP is 125/78 mmHg, her pulse is 94 bpm, and her apex beat is displaced to the anterior axillary line. Investigations reveal a hemoglobin of 119 g/L, WCC of 5.0 x 10°/L, platelets of 190 x 10°/L, sodium of 140 mmoUL, potassium of 4.5 mmol/L, elevated creatinine at 160 umMoUL, and a chest X-ray showing cardiomegaly with mild pulmonary edema at both bases. Which one of the following chemotherapeutic agents is most likely to be responsible for this patient’s symptoms?",Doxorubicin,Docetaxel,Cisplatin,Bleomycin,Carboplatin |,,A,A — Doxorubicin,"The patient's symptoms of cardiomegaly, displaced apex beat, and mil -j pulmonary edema indicate chemotherapy-induced cardiomyopathy, a known side eff, of doxorubicin. This anthracycline drug is associated with dose-dependent cardiotoxig Monitoring of cardiac function is essential during and after treatment with doxorubic;","The patient's symptoms of cardiomegaly, displaced apex beat, and mil -j pulmonary edema indicate chemotherapy-induced cardiomyopathy, a known side eff, of doxorubicin. This anthracycline drug is associated with dose-dependent cardiotoxig Monitoring of cardiac function is essential during and after treatment with doxorubic;","Correct answer: A — Doxorubicin. The patient's symptoms of cardiomegaly, displaced apex beat, and mil -j pulmonary edema indicate chemotherapy-induced cardiomyopathy, a known side eff, of doxorubicin. This anthracycline drug is associated with dose-dependent cardiotoxig Monitoring of cardiac function is essential during and after treatment with doxorubic;. For cardiomyopathy questions, use the phenotype, age, family history, and structural pattern to identify the most likely underlying diagnosis or mutation. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Heart Failure/Cardiomyopathy
221,single,"Apatient has tuberous xanthomas as characterized by red papules and nodules th; appear inflamed and tend to coalesce, distributed subcutaneously and mainly on the extensor surface of the extremities. Lipid-profile testing showed increased levels of to ta cholesterol and triglycerides, and decreased levels of high-density lipoprotein. What is} probable diagnosis?",Type | hyperlipoproteinemia,Type ll hyperlipoproteinemia,Type lil hypertipoproteinemia,Type IV hypertipoproteinemia —) Type V hypertipoproteinemia j,,,C,C — Type lil hypertipoproteinemia,"Type Ill hyperlipoproteinemia, also known as familial ¥ q dysbetalipoproteinemia, is associated with tuberous xanthomas, elevated cholestero triglycerides, and reduced HDL.","Type Ill hyperlipoproteinemia, also known as familial ¥ q dysbetalipoproteinemia, is associated with tuberous xanthomas, elevated cholestero triglycerides, and reduced HDL.","Correct answer: C — Type lil hypertipoproteinemia. Type Ill hyperlipoproteinemia, also known as familial ¥ q dysbetalipoproteinemia, is associated with tuberous xanthomas, elevated cholestero triglycerides, and reduced HDL. When the stem spans symptoms, auscultation, and embolic phenomena, choose the option that best integrates all of them rather than a partial fit. Exam tip: when asked about investigation, select the test that most directly confirms the suspected diagnosis or answers the exact question being asked.",Miscellaneous
222,single,"Inthe Cardiology Outpatients' Department, a 50-year-old obese woman was notic, have a systolic murmur loudest at the apex. Isometric exercise by handgrip intensified murmur. What is the most likely cause of her murmur? ‘",Aortic stenosis,Hypertrophic obstructive cardiomyopathy E,Mitral regurgitation £,Atrial septal defect ‘,Tricuspid regurgitation Ag,,C,C — Mitral regurgitation £,"The systolic murmur loudest at the apex that intensifies with isometric handgrip is characteristic of MR. Handgrip increases afterload, which accentuates th murmur of MR due to increased regurgitant flow across the mitral valve. Other mu Ly. such as those of aortic stenosis or hypertrophic obstructive cardiomyopathy, typical not intensify with handgrip.","The systolic murmur loudest at the apex that intensifies with isometric handgrip is characteristic of MR. Handgrip increases afterload, which accentuates th murmur of MR due to increased regurgitant flow across the mitral valve. Other mu Ly. such as those of aortic stenosis or hypertrophic obstructive cardiomyopathy, typical not intensify with handgrip.","Correct answer: C — Mitral regurgitation £. The systolic murmur loudest at the apex that intensifies with isometric handgrip is characteristic of MR. Handgrip increases afterload, which accentuates th murmur of MR due to increased regurgitant flow across the mitral valve. Other mu Ly. such as those of aortic stenosis or hypertrophic obstructive cardiomyopathy, typical not intensify with handgrip. In valvular questions, timing of symptoms, prosthesis type, and echocardiographic morphology are major clues to the underlying valve complication. Exam tip: pick the option that best matches the whole stem, not just the first clue that looks familiar.",Valvular
